"FACILITY_CODE","FACILITY_ID","FACILITY_TYPE","FACILITY_NAME","SYS_LOC_CODE","LOC_TYPE","LOC_TYPE_2","LATITUDE","LONGITUDE","SURF_ELEV","GEOLOGIC_UNIT_DESC","DEPTH_OF_WELL","SAMPLE_DATE","MATRIX_CODE","MEDIUM_CODE","ANALYSIS_DATE","LAB_ANALYTICAL_METHOD_CODE","LAB_ANALYTICAL_METHOD_NAME","CAS_RN","ANALYTE_NAME","ANALYTE_TYPE_DESC","ANALYTE_GROUP_DESC","RESULT_NUMERIC","RESULT_UNIT","VALUE_TYPE","DETECT_FLAG","DETECTION_REMARK","METHOD_DETECTION_LIMIT","REPORTING_DETECTION_LIMIT","MIN_ACTION_LEVEL_CODE","MIN_ACTION_LEVEL","ACTION_LEVEL_UNIT","ACTION_LEVEL_EXCEEDANCE","MOST_RECENT_RESULT_FLAG","FIVE_YEAR_FLAG","REPORT_DATE"
"SR0000034","1357","Superfund","Bell Lumber & Pole Co","1000022183","Well","Well-Monitoring","45.053739","-93.197764","915.33","","","05-10-2016","Wtr-Ground","Water","05-18-2016","8270C","Semivolatile Organic Compounds by CGC/MS","87-86-5","Pentachlorophenol","Pesticide","Pesticides and PCBs","25","ug/L","Actual","Y","","0.27","5.0","HRL","0.3","ug/L","83.33","Y","N","04-09-2023"
"SR0000034","1357","Superfund","Bell Lumber & Pole Co","1000022184","Well","Well-Monitoring","45.052911","-93.197894","913.46","","","05-11-2016","Wtr-Ground","Water","05-19-2016","8270C","Semivolatile Organic Compounds by CGC/MS","87-86-5","Pentachlorophenol","Pesticide","Pesticides and PCBs","1800","ug/L","Actual","Y","","5.2","96","HRL","0.3","ug/L","6000","Y","N","04-09-2023"
"SR0000034","1357","Superfund","Bell Lumber & Pole Co","1000022195","Well","Well-Monitoring","45.050301","-93.19715","912.46","","","05-10-2016","Wtr-Ground","Water","05-18-2016","8270C","Semivolatile Organic Compounds by CGC/MS","87-86-5","Pentachlorophenol","Pesticide","Pesticides and PCBs","","ug/L","Actual","N","Below Reporting Limit","0.28","5.1","HRL","0.3","ug/L","","Y","N","04-09-2023"
"SR0000034","1357","Superfund","Bell Lumber & Pole Co","1000022196","Well","Well-Monitoring","45.049956","-93.199447","898.89","","","05-10-2016","Wtr-Ground","Water","05-19-2016","8270C","Semivolatile Organic Compounds by CGC/MS","87-86-5","Pentachlorophenol","Pesticide","Pesticides and PCBs","360","ug/L","Actual","Y","","1.3","24","HRL","0.3","ug/L","1200","Y","N","04-09-2023"
"SR0000034","1357","Superfund","Bell Lumber & Pole Co","1000022196","Well","Well-Monitoring","45.049956","-93.199447","898.89","","","05-10-2016","Wtr-Ground","Water","05-19-2016","8270C","Semivolatile Organic Compounds by CGC/MS","87-86-5","Pentachlorophenol","Pesticide","Pesticides and PCBs","330","ug/L","Actual","Y","","1.3","24","HRL","0.3","ug/L","1100","N","N","04-09-2023"
"SR0000034","1357","Superfund","Bell Lumber & Pole Co","1000022197","Well","Well-Monitoring","45.050701","-93.199811","906.29","","","05-11-2016","Wtr-Ground","Water","05-17-2016","8270C","Semivolatile Organic Compounds by CGC/MS","87-86-5","Pentachlorophenol","Pesticide","Pesticides and PCBs","17000","ug/L","Actual","Y","","66","1200","HRL","0.3","ug/L","56666.67","Y","N","04-09-2023"
"SR0000034","1357","Superfund","Bell Lumber & Pole Co","490061","Well","Well-Monitoring","45.052682","-93.195729","914.17653844","Quaternary Water Table Aquifer","39","05-10-2016","Wtr-Ground","Water","05-18-2016","8270C","Semivolatile Organic Compounds by CGC/MS","87-86-5","Pentachlorophenol","Pesticide","Pesticides and PCBs","71","ug/L","Actual","Y","","0.26","4.9","HRL","0.3","ug/L","236.67","Y","N","04-09-2023"
"SR0000034","1357","Superfund","Bell Lumber & Pole Co","736137","Well","Well-Remedial","45.050987","-93.200532","904.5768006","Quaternary Undifferentiated","59","09-26-2018","Wtr-Ground","Water","10-04-2018","8270D","Semivolatile Organic Compounds by GC/MS","01-06-0100","p-Nitroaniline","SVOC","Semi-Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.91","2.0","","","","","Y","Y","04-09-2023"
"SR0000034","1357","Superfund","Bell Lumber & Pole Co","736137","Well","Well-Remedial","45.050987","-93.200532","904.5768006","Quaternary Undifferentiated","59","09-26-2018","Wtr-Ground","Water","10-04-2018","8270D","Semivolatile Organic Compounds by GC/MS","02-07-0100","p-Nitrophenol","SVOC","Semi-Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","2.2","9.9","","","","","Y","Y","04-09-2023"
"SR0000034","1357","Superfund","Bell Lumber & Pole Co","736137","Well","Well-Remedial","45.050987","-93.200532","904.5768006","Quaternary Undifferentiated","59","09-26-2018","Wtr-Ground","Water","10-04-2018","8270D","Semivolatile Organic Compounds by GC/MS","100-52-7","Benzaldehyde","Other organic","Other Organics","","ug/L","Actual","N","Below Reporting Limit","0.75","2.0","","","","","Y","Y","04-09-2023"
