"FACILITY_CODE","FACILITY_ID","FACILITY_TYPE","FACILITY_NAME","SYS_LOC_CODE","LOC_TYPE","LOC_TYPE_2","LATITUDE","LONGITUDE","SURF_ELEV","GEOLOGIC_UNIT_DESC","DEPTH_OF_WELL","SAMPLE_DATE","MATRIX_CODE","MEDIUM_CODE","ANALYSIS_DATE","LAB_ANALYTICAL_METHOD_CODE","LAB_ANALYTICAL_METHOD_NAME","CAS_RN","ANALYTE_NAME","ANALYTE_TYPE_DESC","ANALYTE_GROUP_DESC","RESULT_NUMERIC","RESULT_UNIT","VALUE_TYPE","DETECT_FLAG","DETECTION_REMARK","METHOD_DETECTION_LIMIT","REPORTING_DETECTION_LIMIT","MIN_ACTION_LEVEL_CODE","MIN_ACTION_LEVEL","ACTION_LEVEL_UNIT","ACTION_LEVEL_EXCEEDANCE","MOST_RECENT_RESULT_FLAG","FIVE_YEAR_FLAG","REPORT_DATE"
"SR0000379","26884532","Superfund","Centerville Road Dump","1000026190","Well","Well-Domestic","45.092632","-93.056715","","","","03-26-2014","Wtr-Drink","Water","03-28-2014","524.2","Purgeable Organics in Water by CGC/MS","100-41-4","Ethylbenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.016","0.5","HBV","40","ug/L","","Y","N","04-09-2023"
"SR0000379","26884532","Superfund","Centerville Road Dump","1000026190","Well","Well-Domestic","45.092632","-93.056715","","","","03-26-2014","Wtr-Drink","Water","03-28-2014","524.2","Purgeable Organics in Water by CGC/MS","100-42-5","Styrene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.023","0.5","MCL","100","ug/L","","Y","N","04-09-2023"
"SR0000379","26884532","Superfund","Centerville Road Dump","1000026190","Well","Well-Domestic","45.092632","-93.056715","","","","03-26-2014","Wtr-Drink","Water","03-28-2014","524.2","Purgeable Organics in Water by CGC/MS","10061-01-5","cis-1,3-Dichloropropene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.038","0.2","","","","","Y","N","04-09-2023"
"SR0000379","26884532","Superfund","Centerville Road Dump","1000026190","Well","Well-Domestic","45.092632","-93.056715","","","","03-26-2014","Wtr-Drink","Water","03-28-2014","524.2","Purgeable Organics in Water by CGC/MS","10061-02-6","trans-1,3-Dichloropropene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.027","0.2","","","","","Y","N","04-09-2023"
"SR0000379","26884532","Superfund","Centerville Road Dump","1000026190","Well","Well-Domestic","45.092632","-93.056715","","","","03-26-2014","Wtr-Drink","Water","03-28-2014","524.2","Purgeable Organics in Water by CGC/MS","103-65-1","n-Propylbenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.1","0.5","","","","","Y","N","04-09-2023"
"SR0000379","26884532","Superfund","Centerville Road Dump","1000026190","Well","Well-Domestic","45.092632","-93.056715","","","","03-26-2014","Wtr-Drink","Water","03-28-2014","524.2","Purgeable Organics in Water by CGC/MS","104-51-8","n-Butylbenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.034","0.5","","","","","Y","N","04-09-2023"
"SR0000379","26884532","Superfund","Centerville Road Dump","1000026190","Well","Well-Domestic","45.092632","-93.056715","","","","03-26-2014","Wtr-Drink","Water","03-28-2014","524.2","Purgeable Organics in Water by CGC/MS","106-43-4","4-Chlorotoluene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.1","0.5","","","","","Y","N","04-09-2023"
"SR0000379","26884532","Superfund","Centerville Road Dump","1000026190","Well","Well-Domestic","45.092632","-93.056715","","","","03-26-2014","Wtr-Drink","Water","03-28-2014","524.2","Purgeable Organics in Water by CGC/MS","106-46-7","1,4-Dichlorobenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.022","0.2","HRL","10","ug/L","","Y","N","04-09-2023"
"SR0000379","26884532","Superfund","Centerville Road Dump","1000026190","Well","Well-Domestic","45.092632","-93.056715","","","","03-26-2014","Wtr-Drink","Water","03-28-2014","524.2","Purgeable Organics in Water by CGC/MS","106-93-4","1,2-Dibromoethane (EDB)","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.025","0.5","HRL","0.004","ug/L","","Y","N","04-09-2023"
"SR0000379","26884532","Superfund","Centerville Road Dump","1000026190","Well","Well-Domestic","45.092632","-93.056715","","","","03-26-2014","Wtr-Drink","Water","03-28-2014","524.2","Purgeable Organics in Water by CGC/MS","05-01-0107","Allyl chloride","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.047","0.5","HRL","30","ug/L","","Y","N","04-09-2023"
"SR0000379","26884532","Superfund","Centerville Road Dump","1000026190","Well","Well-Domestic","45.092632","-93.056715","","","","03-26-2014","Wtr-Drink","Water","03-28-2014","524.2","Purgeable Organics in Water by CGC/MS","06-02-0107","1,2-Dichloroethane","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.023","0.2","HRL","1","ug/L","","Y","N","04-09-2023"
"SR0000379","26884532","Superfund","Centerville Road Dump","1000026190","Well","Well-Domestic","45.092632","-93.056715","","","","03-26-2014","Wtr-Drink","Water","03-28-2014","524.2","Purgeable Organics in Water by CGC/MS","10-01-0108","Methyl isobutyl ketone (MIBK)","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.15","5","HRL","300","ug/L","","Y","N","04-09-2023"
"SR0000379","26884532","Superfund","Centerville Road Dump","1000026190","Well","Well-Domestic","45.092632","-93.056715","","","","03-26-2014","Wtr-Drink","Water","03-28-2014","524.2","Purgeable Organics in Water by CGC/MS","108-67-8","1,3,5-Trimethylbenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.11","0.5","HBV","30","ug/L","","Y","N","04-09-2023"
"SR0000379","26884532","Superfund","Centerville Road Dump","1000026190","Well","Well-Domestic","45.092632","-93.056715","","","","03-26-2014","Wtr-Drink","Water","03-28-2014","524.2","Purgeable Organics in Water by CGC/MS","108-86-1","Bromobenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.031","0.2","","","","","Y","N","04-09-2023"
