"FACILITY_CODE","FACILITY_ID","FACILITY_TYPE","FACILITY_NAME","SYS_LOC_CODE","LOC_TYPE","LOC_TYPE_2","LATITUDE","LONGITUDE","SURF_ELEV","GEOLOGIC_UNIT_DESC","DEPTH_OF_WELL","SAMPLE_DATE","MATRIX_CODE","MEDIUM_CODE","ANALYSIS_DATE","LAB_ANALYTICAL_METHOD_CODE","LAB_ANALYTICAL_METHOD_NAME","CAS_RN","ANALYTE_NAME","ANALYTE_TYPE_DESC","ANALYTE_GROUP_DESC","RESULT_NUMERIC","RESULT_UNIT","VALUE_TYPE","DETECT_FLAG","DETECTION_REMARK","METHOD_DETECTION_LIMIT","REPORTING_DETECTION_LIMIT","MIN_ACTION_LEVEL_CODE","MIN_ACTION_LEVEL","ACTION_LEVEL_UNIT","ACTION_LEVEL_EXCEEDANCE","MOST_RECENT_RESULT_FLAG","FIVE_YEAR_FLAG","REPORT_DATE"
"SR0000376","1750","Superfund","Fish Hatchery Dump","200003","Well","Well-PubWtrSup","","","720","Prairie du Chien-Jordan","319","10-10-2007","Wtr-Ground","Water","","P0002561","Perfluoronated compounds (PFCs) by Exygen Protocol P0002561","108427-53-8","Perfluorohexane sulfonate","PFAS","Perfluorochemicals","","ug/L","Actual","N","Present Below Quantification Limit","","0.3","HBV","0.047","ug/L","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","200003","Well","Well-PubWtrSup","","","720","Prairie du Chien-Jordan","319","10-10-2007","Wtr-Ground","Water","","P0002561","Perfluoronated compounds (PFCs) by Exygen Protocol P0002561","2706-90-3","Perfluoropentanoic acid","PFAS","Perfluorochemicals","","ug/L","Actual","N","Present Below Quantification Limit","","0.3","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","200003","Well","Well-PubWtrSup","","","720","Prairie du Chien-Jordan","319","10-10-2007","Wtr-Ground","Water","","P0002561","Perfluoronated compounds (PFCs) by Exygen Protocol P0002561","307-24-4","Perfluorohexanoic acid","PFAS","Perfluorochemicals","","ug/L","Actual","N","Present Below Quantification Limit","","0.3","HBV","0.2","ug/L","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","200003","Well","Well-PubWtrSup","","","720","Prairie du Chien-Jordan","319","10-10-2007","Wtr-Ground","Water","","P0002561","Perfluoronated compounds (PFCs) by Exygen Protocol P0002561","335-67-1","Perfluorooctanoic acid","PFAS","Perfluorochemicals","","ug/L","Actual","N","Present Below Quantification Limit","","0.3","HRL","0.035","ug/L","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","200003","Well","Well-PubWtrSup","","","720","Prairie du Chien-Jordan","319","10-10-2007","Wtr-Ground","Water","","P0002561","Perfluoronated compounds (PFCs) by Exygen Protocol P0002561","375-22-4","Perfluorobutanoic acid","PFAS","Perfluorochemicals","","ug/L","Actual","N","Present Below Quantification Limit","","0.3","HRL","7","ug/L","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","200003","Well","Well-PubWtrSup","","","720","Prairie du Chien-Jordan","319","10-10-2007","Wtr-Ground","Water","","P0002561","Perfluoronated compounds (PFCs) by Exygen Protocol P0002561","45187-15-3","Perfluorobutane sulfonate","PFAS","Perfluorochemicals","","ug/L","Actual","N","Present Below Quantification Limit","","0.3","HBV","0.1","ug/L","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","200003","Well","Well-PubWtrSup","","","720","Prairie du Chien-Jordan","319","10-10-2007","Wtr-Ground","Water","","P0002561","Perfluoronated compounds (PFCs) by Exygen Protocol P0002561","45298-90-6","Perfluorooctane sulfonate","PFAS","Perfluorochemicals","","ug/L","Actual","N","Present Below Quantification Limit","","0.3","HBV","0.015","ug/L","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000205","Well","Well-Temporary","44.943235","-93.040323","695.1607834","","4","11-23-2015","Wtr-Ground","Water","12-09-2015","8270D","Semivolatile Organic Compounds by GC/MS","12-07-0120","Anthracene","SVOC","Semi-Volatile Organics","0.031","ug/L","Actual","Y","","0.001","0.020","RAA","600","ug/L","0","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000205","Well","Well-Temporary","44.943235","-93.040323","695.1607834","","4","11-23-2015","Wtr-Ground","Water","12-09-2015","8270D","Semivolatile Organic Compounds by GC/MS","129-00-0","Pyrene","SVOC","Semi-Volatile Organics","0.051","ug/L","Actual","Y","","0.002","0.020","HRL","50","ug/L","0","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000205","Well","Well-Temporary","44.943235","-93.040323","695.1607834","","4","11-23-2015","Wtr-Ground","Water","12-09-2015","8270D","Semivolatile Organic Compounds by GC/MS","191-24-2","Benzo[ghi]perylene","SVOC","Semi-Volatile Organics","","ug/L","Actual","N","Present Below Quantification Limit","0.003","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000205","Well","Well-Temporary","44.943235","-93.040323","695.1607834","","4","11-23-2015","Wtr-Ground","Water","12-09-2015","8270D","Semivolatile Organic Compounds by GC/MS","193-39-5","Indeno[1,2,3-cd]pyrene","SVOC","Semi-Volatile Organics","","ug/L","Actual","N","Present Below Quantification Limit","0.003","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000205","Well","Well-Temporary","44.943235","-93.040323","695.1607834","","4","11-23-2015","Wtr-Ground","Water","12-09-2015","8270D","Semivolatile Organic Compounds by GC/MS","205-99-2","Benzo(b)fluoranthene","SVOC","Semi-Volatile Organics","","ug/L","Actual","N","Present Below Quantification Limit","0.002","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000205","Well","Well-Temporary","44.943235","-93.040323","695.1607834","","4","11-23-2015","Wtr-Ground","Water","12-09-2015","8270D","Semivolatile Organic Compounds by GC/MS","206-44-0","Fluoranthene","SVOC","Semi-Volatile Organics","0.078","ug/L","Actual","Y","","0.0008","0.020","HRL","70","ug/L","0","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000205","Well","Well-Temporary","44.943235","-93.040323","695.1607834","","4","11-23-2015","Wtr-Ground","Water","12-09-2015","8270D","Semivolatile Organic Compounds by GC/MS","08-09-0207","Benzo[k]fluoranthene","SVOC","Semi-Volatile Organics","","ug/L","Actual","N","Present Below Quantification Limit","0.002","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000205","Well","Well-Temporary","44.943235","-93.040323","695.1607834","","4","11-23-2015","Wtr-Ground","Water","12-09-2015","8270D","Semivolatile Organic Compounds by GC/MS","208-96-8","Acenaphthylene","SVOC","Semi-Volatile Organics","","ug/L","Actual","N","Present Below Quantification Limit","0.005","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000205","Well","Well-Temporary","44.943235","-93.040323","695.1607834","","4","11-23-2015","Wtr-Ground","Water","12-09-2015","8270D","Semivolatile Organic Compounds by GC/MS","01-09-0218","Chrysene","SVOC","Semi-Volatile Organics","","ug/L","Actual","N","Present Below Quantification Limit","0.002","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000205","Well","Well-Temporary","44.943235","-93.040323","695.1607834","","4","11-23-2015","Wtr-Ground","Water","12-09-2015","8270D","Semivolatile Organic Compounds by GC/MS","50-32-8","Benzo[a]pyrene","SVOC","Semi-Volatile Organics","","ug/L","Actual","N","Present Below Quantification Limit","0.003","0.020","HBV","0.1","ug/L","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000205","Well","Well-Temporary","44.943235","-93.040323","695.1607834","","4","11-23-2015","Wtr-Ground","Water","12-09-2015","8270D","Semivolatile Organic Compounds by GC/MS","53-70-3","Dibenz[a,h]anthracene","SVOC","Semi-Volatile Organics","","ug/L","Actual","N","Present Below Quantification Limit","0.003","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000205","Well","Well-Temporary","44.943235","-93.040323","695.1607834","","4","11-23-2015","Wtr-Ground","Water","12-09-2015","8270D","Semivolatile Organic Compounds by GC/MS","56-55-3","Benz[a]anthracene","SVOC","Semi-Volatile Organics","","ug/L","Actual","N","Present Below Quantification Limit","0.006","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000205","Well","Well-Temporary","44.943235","-93.040323","695.1607834","","4","11-23-2015","Wtr-Ground","Water","12-09-2015","8270D","Semivolatile Organic Compounds by GC/MS","83-32-9","Acenaphthene","SVOC","Semi-Volatile Organics","0.369","ug/L","Actual","Y","","0.005","0.020","HRL","100","ug/L","0","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000205","Well","Well-Temporary","44.943235","-93.040323","695.1607834","","4","11-23-2015","Wtr-Ground","Water","12-09-2015","8270D","Semivolatile Organic Compounds by GC/MS","85-01-8","Phenanthrene","SVOC","Semi-Volatile Organics","0.257","ug/L","Actual","Y","","0.001","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000205","Well","Well-Temporary","44.943235","-93.040323","695.1607834","","4","11-23-2015","Wtr-Ground","Water","12-09-2015","8270D","Semivolatile Organic Compounds by GC/MS","86-73-7","Fluorene","SVOC","Semi-Volatile Organics","0.048","ug/L","Actual","Y","","0.004","0.020","HBV","80","ug/L","0","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000205","Well","Well-Temporary","44.943235","-93.040323","695.1607834","","4","11-23-2015","Wtr-Ground","Water","12-09-2015","8270D","Semivolatile Organic Compounds by GC/MS","91-20-3","Naphthalene","Volatile","Volatile Organics","","ug/L","Actual","N","Present Below Quantification Limit","0.004","0.020","HRL","70","ug/L","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000205","Well","Well-Temporary","44.943235","-93.040323","695.1607834","","4","11-23-2015","Wtr-Ground","Water","12-09-2015","8270D","Semivolatile Organic Compounds by GC/MS","91-57-6","2-Methylnaphthalene","SVOC","Semi-Volatile Organics","","ug/L","Actual","N","Present Below Quantification Limit","0.004","0.020","RAA","8","ug/L","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000205","Well","Well-Temporary","44.943235","-93.040323","695.1607834","","4","11-23-2015","Wtr-Ground","Water","12-08-2015","2540-C","Total Dissolved Solids in Water","SOLIDS-TDS","Total dissolved solids","Inorganic","Inorganics","490000","ug/L","Actual","Y","","","25","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000205","Well","Well-Temporary","44.943235","-93.040323","695.1607834","","4","11-23-2015","Wtr-Ground","Water","12-04-2015","2540-D","Total Suspended Solids in Water","SOLIDS-TSS","Total suspended solids","Inorganic","Inorganics","87000","ug/L","Actual","Y","","","2.5","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000206","Well","Well-Temporary","44.942882","-93.040449","697.1260066","","6.5","11-23-2015","Wtr-Ground","Water","12-10-2015","8270D","Semivolatile Organic Compounds by GC/MS","12-07-0120","Anthracene","SVOC","Semi-Volatile Organics","0.38","ug/L","Actual","Y","","0.001","0.020","RAA","600","ug/L","0","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000206","Well","Well-Temporary","44.942882","-93.040449","697.1260066","","6.5","11-23-2015","Wtr-Ground","Water","12-10-2015","8270D","Semivolatile Organic Compounds by GC/MS","129-00-0","Pyrene","SVOC","Semi-Volatile Organics","1.61","ug/L","Actual","Y","","0.002","0.020","HRL","50","ug/L","0.03","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000206","Well","Well-Temporary","44.942882","-93.040449","697.1260066","","6.5","11-23-2015","Wtr-Ground","Water","12-10-2015","8270D","Semivolatile Organic Compounds by GC/MS","132-64-9","Dibenzofuran","SVOC","Semi-Volatile Organics","0.149","ug/L","Actual","Y","","0.004","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000206","Well","Well-Temporary","44.942882","-93.040449","697.1260066","","6.5","11-23-2015","Wtr-Ground","Water","12-10-2015","8270D","Semivolatile Organic Compounds by GC/MS","132-65-0","Dibenzothiophene","Other organic","Other Organics","0.475","ug/L","Actual","Y","","0.003","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000206","Well","Well-Temporary","44.942882","-93.040449","697.1260066","","6.5","11-23-2015","Wtr-Ground","Water","12-10-2015","8270D","Semivolatile Organic Compounds by GC/MS","189-55-9","Dibenzo[a,i]pyrene","Other organic","Other Organics","0.065","ug/L","Actual","Y","","0.005","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000206","Well","Well-Temporary","44.942882","-93.040449","697.1260066","","6.5","11-23-2015","Wtr-Ground","Water","12-10-2015","8270D","Semivolatile Organic Compounds by GC/MS","189-64-0","Dibenzo[a,h]pyrene","SVOC","Semi-Volatile Organics","","ug/L","Actual","N","Present Below Quantification Limit","0.004","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000206","Well","Well-Temporary","44.942882","-93.040449","697.1260066","","6.5","11-23-2015","Wtr-Ground","Water","12-10-2015","8270D","Semivolatile Organic Compounds by GC/MS","07-01-0191","Coronene","Other organic","Other Organics","0.106","ug/L","Actual","Y","","0.004","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000206","Well","Well-Temporary","44.942882","-93.040449","697.1260066","","6.5","11-23-2015","Wtr-Ground","Water","12-10-2015","8270D","Semivolatile Organic Compounds by GC/MS","191-24-2","Benzo[ghi]perylene","SVOC","Semi-Volatile Organics","0.584","ug/L","Actual","Y","","0.003","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000206","Well","Well-Temporary","44.942882","-93.040449","697.1260066","","6.5","11-23-2015","Wtr-Ground","Water","12-10-2015","8270D","Semivolatile Organic Compounds by GC/MS","191-26-4","Anthanthrene","Other organic","Other Organics","0.061","ug/L","Actual","Y","","0.003","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000206","Well","Well-Temporary","44.942882","-93.040449","697.1260066","","6.5","11-23-2015","Wtr-Ground","Water","12-10-2015","8270D","Semivolatile Organic Compounds by GC/MS","191-30-0","Dibenzo[a,l]pyrene","Other organic","Other Organics","","ug/L","Actual","N","Present Below Quantification Limit","0.005","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000206","Well","Well-Temporary","44.942882","-93.040449","697.1260066","","6.5","11-23-2015","Wtr-Ground","Water","12-10-2015","8270D","Semivolatile Organic Compounds by GC/MS","192-65-4","Dibenzo[a,e]pyrene","Other organic","Other Organics","0.204","ug/L","Actual","Y","","0.004","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000206","Well","Well-Temporary","44.942882","-93.040449","697.1260066","","6.5","11-23-2015","Wtr-Ground","Water","12-10-2015","8270D","Semivolatile Organic Compounds by GC/MS","192-97-2","Benzo[e]pyrene","Other organic","Other Organics","1.05","ug/L","Actual","Y","","0.003","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000206","Well","Well-Temporary","44.942882","-93.040449","697.1260066","","6.5","11-23-2015","Wtr-Ground","Water","12-10-2015","8270D","Semivolatile Organic Compounds by GC/MS","193-39-5","Indeno[1,2,3-cd]pyrene","SVOC","Semi-Volatile Organics","0.343","ug/L","Actual","Y","","0.003","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000206","Well","Well-Temporary","44.942882","-93.040449","697.1260066","","6.5","11-23-2015","Wtr-Ground","Water","12-10-2015","8270D","Semivolatile Organic Compounds by GC/MS","194-59-2","7H-Dibenzo[c,g]carbazole","Other organic","Other Organics","","ug/L","Actual","N","Present Below Quantification Limit","0.002","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000206","Well","Well-Temporary","44.942882","-93.040449","697.1260066","","6.5","11-23-2015","Wtr-Ground","Water","12-10-2015","8270D","Semivolatile Organic Compounds by GC/MS","198-55-0","Perylene","SVOC","Semi-Volatile Organics","0.136","ug/L","Actual","Y","","0.003","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000206","Well","Well-Temporary","44.942882","-93.040449","697.1260066","","6.5","11-23-2015","Wtr-Ground","Water","12-10-2015","8270D","Semivolatile Organic Compounds by GC/MS","12-09-0205","Benzo[c]fluorene","Other organic","Other Organics","0.097","ug/L","Actual","Y","","0.001","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000206","Well","Well-Temporary","44.942882","-93.040449","697.1260066","","6.5","11-23-2015","Wtr-Ground","Water","12-10-2015","8270D","Semivolatile Organic Compounds by GC/MS","205-82-3","Benzo[j]fluoranthene","SVOC","Semi-Volatile Organics","0.336","ug/L","Actual","Y","","0.002","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000206","Well","Well-Temporary","44.942882","-93.040449","697.1260066","","6.5","11-23-2015","Wtr-Ground","Water","12-10-2015","8270D","Semivolatile Organic Compounds by GC/MS","205-99-2","Benzo(b)fluoranthene","SVOC","Semi-Volatile Organics","0.773","ug/L","Actual","Y","","0.002","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000206","Well","Well-Temporary","44.942882","-93.040449","697.1260066","","6.5","11-23-2015","Wtr-Ground","Water","12-10-2015","8270D","Semivolatile Organic Compounds by GC/MS","206-44-0","Fluoranthene","SVOC","Semi-Volatile Organics","1.41","ug/L","Actual","Y","","0.0008","0.020","HRL","70","ug/L","0.02","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000206","Well","Well-Temporary","44.942882","-93.040449","697.1260066","","6.5","11-23-2015","Wtr-Ground","Water","12-10-2015","8270D","Semivolatile Organic Compounds by GC/MS","08-09-0207","Benzo[k]fluoranthene","SVOC","Semi-Volatile Organics","0.317","ug/L","Actual","Y","","0.002","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000206","Well","Well-Temporary","44.942882","-93.040449","697.1260066","","6.5","11-23-2015","Wtr-Ground","Water","12-10-2015","8270D","Semivolatile Organic Compounds by GC/MS","208-96-8","Acenaphthylene","SVOC","Semi-Volatile Organics","0.05","ug/L","Actual","Y","","0.005","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000206","Well","Well-Temporary","44.942882","-93.040449","697.1260066","","6.5","11-23-2015","Wtr-Ground","Water","12-10-2015","8270D","Semivolatile Organic Compounds by GC/MS","01-09-0218","Chrysene","SVOC","Semi-Volatile Organics","1.53","ug/L","Actual","Y","","0.002","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000206","Well","Well-Temporary","44.942882","-93.040449","697.1260066","","6.5","11-23-2015","Wtr-Ground","Water","12-10-2015","8270D","Semivolatile Organic Compounds by GC/MS","224-42-0","Dibenz[a,j]acridine","SVOC","Semi-Volatile Organics","","ug/L","Actual","N","Present Below Quantification Limit","0.003","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000206","Well","Well-Temporary","44.942882","-93.040449","697.1260066","","6.5","11-23-2015","Wtr-Ground","Water","12-10-2015","8270D","Semivolatile Organic Compounds by GC/MS","226-36-8","Dibenz[a,h]acridine","Other organic","Other Organics","","ug/L","Actual","N","Present Below Quantification Limit","0.003","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000206","Well","Well-Temporary","44.942882","-93.040449","697.1260066","","6.5","11-23-2015","Wtr-Ground","Water","12-10-2015","8270D","Semivolatile Organic Compounds by GC/MS","27208-37-3","Cyclopenta[cd]pyrene","Other organic","Other Organics","","ug/L","Actual","N","Present Below Quantification Limit","0.004","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000206","Well","Well-Temporary","44.942882","-93.040449","697.1260066","","6.5","11-23-2015","Wtr-Ground","Water","12-10-2015","8270D","Semivolatile Organic Compounds by GC/MS","3697-24-3","5-Methylchrysene","Other organic","Other Organics","0.069","ug/L","Actual","Y","","0.002","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000206","Well","Well-Temporary","44.942882","-93.040449","697.1260066","","6.5","11-23-2015","Wtr-Ground","Water","12-10-2015","8270D","Semivolatile Organic Compounds by GC/MS","50-32-8","Benzo[a]pyrene","SVOC","Semi-Volatile Organics","0.815","ug/L","Actual","Y","","0.003","0.020","HBV","0.1","ug/L","8.15","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000206","Well","Well-Temporary","44.942882","-93.040449","697.1260066","","6.5","11-23-2015","Wtr-Ground","Water","12-10-2015","8270D","Semivolatile Organic Compounds by GC/MS","53-70-3","Dibenz[a,h]anthracene","SVOC","Semi-Volatile Organics","0.184","ug/L","Actual","Y","","0.003","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000206","Well","Well-Temporary","44.942882","-93.040449","697.1260066","","6.5","11-23-2015","Wtr-Ground","Water","12-10-2015","8270D","Semivolatile Organic Compounds by GC/MS","5385-75-1","Dibenzo[a,e]fluoranthene","Other organic","Other Organics","0.167","ug/L","Actual","Y","","0.004","0.020","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000206","Well","Well-Temporary","44.942882","-93.040449","697.1260066","","6.5","11-23-2015","Wtr-Ground","Water","12-10-2015","8270D","Semivolatile Organic Compounds by GC/MS","5522-43-0","1-Nitropyrene","Other organic","Other Organics","","ug/L","Actual","N","Present Below Quantification Limit","0.018","0.200","","","","","Y","N","04-09-2023"
"SR0000376","1750","Superfund","Fish Hatchery Dump","2001000206","Well","Well-Temporary","44.942882","-93.040449","697.1260066","","6.5","11-23-2015","Wtr-Ground","Water","12-10-2015","8270D","Semivolatile Organic Compounds by GC/MS","56-49-5","3-Methylcholanthrene","SVOC","Semi-Volatile Organics","","ug/L","Actual","N","Present Below Quantification Limit","0.003","0.020","","","","","Y","N","04-09-2023"
