"FACILITY_CODE","FACILITY_ID","FACILITY_TYPE","FACILITY_NAME","SYS_LOC_CODE","LOC_TYPE","LOC_TYPE_2","LATITUDE","LONGITUDE","SURF_ELEV","GEOLOGIC_UNIT_DESC","DEPTH_OF_WELL","SAMPLE_DATE","MATRIX_CODE","MEDIUM_CODE","ANALYSIS_DATE","LAB_ANALYTICAL_METHOD_CODE","LAB_ANALYTICAL_METHOD_NAME","CAS_RN","ANALYTE_NAME","ANALYTE_TYPE_DESC","ANALYTE_GROUP_DESC","RESULT_NUMERIC","RESULT_UNIT","VALUE_TYPE","DETECT_FLAG","DETECTION_REMARK","METHOD_DETECTION_LIMIT","REPORTING_DETECTION_LIMIT","MIN_ACTION_LEVEL_CODE","MIN_ACTION_LEVEL","ACTION_LEVEL_UNIT","ACTION_LEVEL_EXCEEDANCE","MOST_RECENT_RESULT_FLAG","FIVE_YEAR_FLAG","REPORT_DATE"
"SR0000145","33288890","Superfund","Lakeland Ground Water Contamination","1000020758","Well","Well-Domestic","44.951917","-92.769576","735.98099468","","","04-15-2019","Wtr-Drink","Water","04-19-2019","MDH555","Perfluorinated Compounds (PFCs) by LC/MS/MS","108427-53-8","Perfluorohexanesulfonate (PFHxS)","PFAS","Perfluorochemicals","","ug/L","Actual","N","Below Method Detection Limit","0.006","0.025","HBV","0.047","ug/L","","Y","Y","04-09-2023"
"SR0000145","33288890","Superfund","Lakeland Ground Water Contamination","1000020758","Well","Well-Domestic","44.951917","-92.769576","735.98099468","","","04-15-2019","Wtr-Drink","Water","04-19-2019","MDH555","Perfluorinated Compounds (PFCs) by LC/MS/MS","2706-90-3","Perfluoropentanoic acid (PFPeA)","PFAS","Perfluorochemicals","","ug/L","Actual","N","Below Method Detection Limit","0.008","0.05","","","","","Y","Y","04-09-2023"
"SR0000145","33288890","Superfund","Lakeland Ground Water Contamination","1000020758","Well","Well-Domestic","44.951917","-92.769576","735.98099468","","","04-15-2019","Wtr-Drink","Water","04-19-2019","MDH555","Perfluorinated Compounds (PFCs) by LC/MS/MS","307-24-4","Perfluorohexanoic acid (PFHxA)","PFAS","Perfluorochemicals","","ug/L","Actual","N","Below Method Detection Limit","0.008","0.05","HBV","0.2","ug/L","","Y","Y","04-09-2023"
"SR0000145","33288890","Superfund","Lakeland Ground Water Contamination","1000020758","Well","Well-Domestic","44.951917","-92.769576","735.98099468","","","04-15-2019","Wtr-Drink","Water","04-19-2019","MDH555","Perfluorinated Compounds (PFCs) by LC/MS/MS","335-67-1","Perfluorooctanoic acid (PFOA)","PFAS","Perfluorochemicals","0.025","ug/L","Estimated","Y","","0.006","0.035","HRL","0.035","ug/L","0.71","Y","Y","04-09-2023"
"SR0000145","33288890","Superfund","Lakeland Ground Water Contamination","1000020758","Well","Well-Domestic","44.951917","-92.769576","735.98099468","","","04-15-2019","Wtr-Drink","Water","04-19-2019","MDH555","Perfluorinated Compounds (PFCs) by LC/MS/MS","375-22-4","Perfluorobutanoic acid (PFBA)","PFAS","Perfluorochemicals","0.16","ug/L","Actual","Y","","0.006","0.05","HRL","7","ug/L","0.02","Y","Y","04-09-2023"
"SR0000145","33288890","Superfund","Lakeland Ground Water Contamination","1000020758","Well","Well-Domestic","44.951917","-92.769576","735.98099468","","","04-15-2019","Wtr-Drink","Water","04-19-2019","MDH555","Perfluorinated Compounds (PFCs) by LC/MS/MS","45187-15-3","Perfluorobutanesulfonate (PFBS)","PFAS","Perfluorochemicals","","ug/L","Actual","N","Below Method Detection Limit","0.008","0.05","HBV","0.1","ug/L","","Y","Y","04-09-2023"
"SR0000145","33288890","Superfund","Lakeland Ground Water Contamination","1000020758","Well","Well-Domestic","44.951917","-92.769576","735.98099468","","","04-15-2019","Wtr-Drink","Water","04-19-2019","MDH555","Perfluorinated Compounds (PFCs) by LC/MS/MS","45298-90-6","Perfluorooctanesulfonate (PFOS)","PFAS","Perfluorochemicals","0.02","ug/L","Estimated","Y","","0.005","0.025","HBV","0.015","ug/L","1.33","Y","Y","04-09-2023"
"SR0000145","33288890","Superfund","Lakeland Ground Water Contamination","1000020759","Well","Well-Domestic","44.934742","-92.774414","716.77823816","","","06-01-2017","Wtr-Drink","Water","06-13-2017","524.2","Purgeable Organics in Water by CGC/MS","100-41-4","Ethylbenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Present Below Quantification Limit","0.049","0.5","HBV","40","ug/L","","Y","N","04-09-2023"
"SR0000145","33288890","Superfund","Lakeland Ground Water Contamination","1000020759","Well","Well-Domestic","44.934742","-92.774414","716.77823816","","","06-01-2017","Wtr-Drink","Water","06-13-2017","524.2","Purgeable Organics in Water by CGC/MS","100-42-5","Styrene","Volatile","Volatile Organics","","ug/L","Actual","N","Present Below Quantification Limit","0.045","0.5","MCL","100","ug/L","","Y","N","04-09-2023"
"SR0000145","33288890","Superfund","Lakeland Ground Water Contamination","1000020759","Well","Well-Domestic","44.934742","-92.774414","716.77823816","","","06-01-2017","Wtr-Drink","Water","06-13-2017","524.2","Purgeable Organics in Water by CGC/MS","10061-01-5","cis-1,3-Dichloropropene","Volatile","Volatile Organics","","ug/L","Actual","N","Present Below Quantification Limit","0.038","0.2","","","","","Y","N","04-09-2023"
"SR0000145","33288890","Superfund","Lakeland Ground Water Contamination","1000020759","Well","Well-Domestic","44.934742","-92.774414","716.77823816","","","06-01-2017","Wtr-Drink","Water","06-13-2017","524.2","Purgeable Organics in Water by CGC/MS","10061-02-6","trans-1,3-Dichloropropene","Volatile","Volatile Organics","","ug/L","Actual","N","Present Below Quantification Limit","0.039","0.2","","","","","Y","N","04-09-2023"
"SR0000145","33288890","Superfund","Lakeland Ground Water Contamination","1000020759","Well","Well-Domestic","44.934742","-92.774414","716.77823816","","","06-01-2017","Wtr-Drink","Water","06-13-2017","524.2","Purgeable Organics in Water by CGC/MS","103-65-1","n-Propylbenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Present Below Quantification Limit","0.065","0.5","","","","","Y","N","04-09-2023"
"SR0000145","33288890","Superfund","Lakeland Ground Water Contamination","1000020759","Well","Well-Domestic","44.934742","-92.774414","716.77823816","","","06-01-2017","Wtr-Drink","Water","06-13-2017","524.2","Purgeable Organics in Water by CGC/MS","104-51-8","n-Butylbenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Present Below Quantification Limit","0.07","0.5","","","","","Y","N","04-09-2023"
"SR0000145","33288890","Superfund","Lakeland Ground Water Contamination","1000020759","Well","Well-Domestic","44.934742","-92.774414","716.77823816","","","06-01-2017","Wtr-Drink","Water","06-13-2017","524.2","Purgeable Organics in Water by CGC/MS","106-43-4","p-Chlorotoluene","Volatile","Volatile Organics","","ug/L","Actual","N","Present Below Quantification Limit","0.069","0.5","","","","","Y","N","04-09-2023"
"SR0000145","33288890","Superfund","Lakeland Ground Water Contamination","1000020759","Well","Well-Domestic","44.934742","-92.774414","716.77823816","","","06-01-2017","Wtr-Drink","Water","06-13-2017","524.2","Purgeable Organics in Water by CGC/MS","106-46-7","p-Dichlorobenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Present Below Quantification Limit","0.035","0.2","HRL","10","ug/L","","Y","N","04-09-2023"
"SR0000145","33288890","Superfund","Lakeland Ground Water Contamination","1000020759","Well","Well-Domestic","44.934742","-92.774414","716.77823816","","","06-01-2017","Wtr-Drink","Water","06-13-2017","524.2","Purgeable Organics in Water by CGC/MS","106-93-4","1,2-Dibromoethane","Volatile","Volatile Organics","","ug/L","Actual","N","Present Below Quantification Limit","0.096","0.5","HRL","0.004","ug/L","","Y","N","04-09-2023"
