"FACILITY_CODE","FACILITY_ID","FACILITY_TYPE","FACILITY_NAME","SYS_LOC_CODE","LOC_TYPE","LOC_TYPE_2","LATITUDE","LONGITUDE","SURF_ELEV","GEOLOGIC_UNIT_DESC","DEPTH_OF_WELL","SAMPLE_DATE","MATRIX_CODE","MEDIUM_CODE","ANALYSIS_DATE","LAB_ANALYTICAL_METHOD_CODE","LAB_ANALYTICAL_METHOD_NAME","CAS_RN","ANALYTE_NAME","ANALYTE_TYPE_DESC","ANALYTE_GROUP_DESC","RESULT_NUMERIC","RESULT_UNIT","VALUE_TYPE","DETECT_FLAG","DETECTION_REMARK","METHOD_DETECTION_LIMIT","REPORTING_DETECTION_LIMIT","MIN_ACTION_LEVEL_CODE","MIN_ACTION_LEVEL","ACTION_LEVEL_UNIT","ACTION_LEVEL_EXCEEDANCE","MOST_RECENT_RESULT_FLAG","FIVE_YEAR_FLAG","REPORT_DATE"
"SR0001404","33289097","Superfund","55th St & Lyndale Ave S","2001000284","Well","Well-Temporary","44.905315","-93.289581","873.27102532","","28","05-15-2017","Wtr-Ground","Water","05-25-2017","8260B","Volatile Organics by CGC/MS","100-41-4","Ethylbenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.50","1.0","HBV","40","ug/L","","Y","N","04-06-2023"
"SR0001404","33289097","Superfund","55th St & Lyndale Ave S","2001000284","Well","Well-Temporary","44.905315","-93.289581","873.27102532","","28","05-15-2017","Wtr-Ground","Water","05-25-2017","8260B","Volatile Organics by CGC/MS","100-42-5","Styrene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.50","1.0","MCL","100","ug/L","","Y","N","04-06-2023"
"SR0001404","33289097","Superfund","55th St & Lyndale Ave S","2001000284","Well","Well-Temporary","44.905315","-93.289581","873.27102532","","28","05-15-2017","Wtr-Ground","Water","05-25-2017","8260B","Volatile Organics by CGC/MS","10061-01-5","cis-1,3-Dichloropropene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.50","4.0","","","","","Y","N","04-06-2023"
"SR0001404","33289097","Superfund","55th St & Lyndale Ave S","2001000284","Well","Well-Temporary","44.905315","-93.289581","873.27102532","","28","05-15-2017","Wtr-Ground","Water","05-25-2017","8260B","Volatile Organics by CGC/MS","10061-02-6","trans-1,3-Dichloropropene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.23","4.0","","","","","Y","N","04-06-2023"
"SR0001404","33289097","Superfund","55th St & Lyndale Ave S","2001000284","Well","Well-Temporary","44.905315","-93.289581","873.27102532","","28","05-15-2017","Wtr-Ground","Water","05-25-2017","8260B","Volatile Organics by CGC/MS","103-65-1","n-Propylbenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.50","1.0","","","","","Y","N","04-06-2023"
"SR0001404","33289097","Superfund","55th St & Lyndale Ave S","2001000284","Well","Well-Temporary","44.905315","-93.289581","873.27102532","","28","05-15-2017","Wtr-Ground","Water","05-25-2017","8260B","Volatile Organics by CGC/MS","104-51-8","n-Butylbenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.50","1.0","","","","","Y","N","04-06-2023"
"SR0001404","33289097","Superfund","55th St & Lyndale Ave S","2001000284","Well","Well-Temporary","44.905315","-93.289581","873.27102532","","28","05-15-2017","Wtr-Ground","Water","05-25-2017","8260B","Volatile Organics by CGC/MS","106-43-4","4-Chlorotoluene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.21","1.0","","","","","Y","N","04-06-2023"
"SR0001404","33289097","Superfund","55th St & Lyndale Ave S","2001000284","Well","Well-Temporary","44.905315","-93.289581","873.27102532","","28","05-15-2017","Wtr-Ground","Water","05-25-2017","8260B","Volatile Organics by CGC/MS","106-46-7","1,4-Dichlorobenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.50","1.0","HRL","10","ug/L","","Y","N","04-06-2023"
"SR0001404","33289097","Superfund","55th St & Lyndale Ave S","2001000284","Well","Well-Temporary","44.905315","-93.289581","873.27102532","","28","05-15-2017","Wtr-Ground","Water","05-25-2017","8260B","Volatile Organics by CGC/MS","106-93-4","1,2-Dibromoethane (EDB)","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.18","1.0","HRL","0.004","ug/L","","Y","N","04-06-2023"
"SR0001404","33289097","Superfund","55th St & Lyndale Ave S","2001000284","Well","Well-Temporary","44.905315","-93.289581","873.27102532","","28","05-15-2017","Wtr-Ground","Water","05-25-2017","8260B","Volatile Organics by CGC/MS","05-01-0107","Allyl chloride","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","2.2","5.0","HRL","30","ug/L","","Y","N","04-06-2023"
