"FACILITY_CODE","FACILITY_ID","FACILITY_TYPE","FACILITY_NAME","SYS_LOC_CODE","LOC_TYPE","LOC_TYPE_2","LATITUDE","LONGITUDE","SURF_ELEV","GEOLOGIC_UNIT_DESC","DEPTH_OF_WELL","SAMPLE_DATE","MATRIX_CODE","MEDIUM_CODE","ANALYSIS_DATE","LAB_ANALYTICAL_METHOD_CODE","LAB_ANALYTICAL_METHOD_NAME","CAS_RN","ANALYTE_NAME","ANALYTE_TYPE_DESC","ANALYTE_GROUP_DESC","RESULT_NUMERIC","RESULT_UNIT","VALUE_TYPE","DETECT_FLAG","DETECTION_REMARK","METHOD_DETECTION_LIMIT","REPORTING_DETECTION_LIMIT","MIN_ACTION_LEVEL_CODE","MIN_ACTION_LEVEL","ACTION_LEVEL_UNIT","ACTION_LEVEL_EXCEEDANCE","MOST_RECENT_RESULT_FLAG","FIVE_YEAR_FLAG","REPORT_DATE"
"SR0000279","1558","Superfund","Minnegasco OU2 Ground Water","270011","Well","Well-Monitoring","44.977899","-93.24723","817.41","","85.3","09-22-2015","Wtr-Ground","Water","10-02-2015","8260B","Volatile Organics by CGC/MS","100-41-4","Ethylbenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.50","1.0","HBV","40","ug/L","","Y","N","04-09-2023"
"SR0000279","1558","Superfund","Minnegasco OU2 Ground Water","270011","Well","Well-Monitoring","44.977899","-93.24723","817.41","","85.3","04-24-2013","Wtr-Ground","Water","05-02-2013","8260B","Volatile Organics by CGC/MS","100-41-4","Ethylbenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.081","1.0","HBV","40","ug/L","","N","N","04-09-2023"
"SR0000279","1558","Superfund","Minnegasco OU2 Ground Water","270011","Well","Well-Monitoring","44.977899","-93.24723","817.41","","85.3","04-24-2013","Wtr-Ground","Water","05-02-2013","8260B","Volatile Organics by CGC/MS","100-41-4","Ethylbenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.081","1.0","HBV","40","ug/L","","N","N","04-09-2023"
"SR0000279","1558","Superfund","Minnegasco OU2 Ground Water","270011","Well","Well-Monitoring","44.977899","-93.24723","817.41","","85.3","09-22-2015","Wtr-Ground","Water","10-02-2015","8260B","Volatile Organics by CGC/MS","108-88-3","Toluene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.50","1.0","HBV","70","ug/L","","Y","N","04-09-2023"
"SR0000279","1558","Superfund","Minnegasco OU2 Ground Water","270011","Well","Well-Monitoring","44.977899","-93.24723","817.41","","85.3","04-24-2013","Wtr-Ground","Water","05-02-2013","8260B","Volatile Organics by CGC/MS","108-88-3","Toluene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.077","1.0","HBV","70","ug/L","","N","N","04-09-2023"
"SR0000279","1558","Superfund","Minnegasco OU2 Ground Water","270011","Well","Well-Monitoring","44.977899","-93.24723","817.41","","85.3","04-24-2013","Wtr-Ground","Water","05-02-2013","8260B","Volatile Organics by CGC/MS","108-88-3","Toluene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.077","1.0","HBV","70","ug/L","","N","N","04-09-2023"
"SR0000279","1558","Superfund","Minnegasco OU2 Ground Water","270011","Well","Well-Monitoring","44.977899","-93.24723","817.41","","85.3","09-22-2015","Wtr-Ground","Water","10-02-2015","8260B","Volatile Organics by CGC/MS","1330-20-7","Xylene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","1.5","3.0","HBV","300","ug/L","","Y","N","04-09-2023"
"SR0000279","1558","Superfund","Minnegasco OU2 Ground Water","270011","Well","Well-Monitoring","44.977899","-93.24723","817.41","","85.3","04-24-2013","Wtr-Ground","Water","05-02-2013","8260B","Volatile Organics by CGC/MS","1330-20-7","Xylene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.22","3.0","HBV","300","ug/L","","N","N","04-09-2023"
"SR0000279","1558","Superfund","Minnegasco OU2 Ground Water","270011","Well","Well-Monitoring","44.977899","-93.24723","817.41","","85.3","04-24-2013","Wtr-Ground","Water","05-02-2013","8260B","Volatile Organics by CGC/MS","1330-20-7","Xylene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.22","3.0","HBV","300","ug/L","","N","N","04-09-2023"
"SR0000279","1558","Superfund","Minnegasco OU2 Ground Water","270011","Well","Well-Monitoring","44.977899","-93.24723","817.41","","85.3","09-22-2015","Wtr-Ground","Water","09-28-2015","4500-CN(E)","Cyanide in Water by Colorimetry","57-12-5","Cyanide","Inorganic","Inorganics","13.1","ug/L","Actual","Y","","5.0","10.0","HRL","100","ug/L","0.13","Y","N","04-09-2023"
