"FACILITY_CODE","FACILITY_ID","FACILITY_TYPE","FACILITY_NAME","SYS_LOC_CODE","LOC_TYPE","LOC_TYPE_2","LATITUDE","LONGITUDE","SURF_ELEV","GEOLOGIC_UNIT_DESC","DEPTH_OF_WELL","SAMPLE_DATE","MATRIX_CODE","MEDIUM_CODE","ANALYSIS_DATE","LAB_ANALYTICAL_METHOD_CODE","LAB_ANALYTICAL_METHOD_NAME","CAS_RN","ANALYTE_NAME","ANALYTE_TYPE_DESC","ANALYTE_GROUP_DESC","RESULT_NUMERIC","RESULT_UNIT","VALUE_TYPE","DETECT_FLAG","DETECTION_REMARK","METHOD_DETECTION_LIMIT","REPORTING_DETECTION_LIMIT","MIN_ACTION_LEVEL_CODE","MIN_ACTION_LEVEL","ACTION_LEVEL_UNIT","ACTION_LEVEL_EXCEEDANCE","MOST_RECENT_RESULT_FLAG","FIVE_YEAR_FLAG","REPORT_DATE"
"SR0000313","24989618","Superfund","TCAAP General","1000022283","Well","Well-Monitoring","45.098338","-93.176385","886.24346668","","","06-07-2019","Wtr-Ground","Water","06-20-2019","6020A","Inductively Coupled Plasma - Mass Spectrometry (ICP-MS)","7439-92-1","Lead","Metal","Metals","39","ug/L","Actual","Y","","0.3","1","MCL","15","ug/L","2.6","Y","Y","04-09-2023"
"SR0000313","24989618","Superfund","TCAAP General","1000022284","Well","Well-Monitoring","45.098479","-93.176409","888.43178696","","","06-07-2019","Wtr-Ground","Water","06-20-2019","6020A","Inductively Coupled Plasma - Mass Spectrometry (ICP-MS)","7439-92-1","Lead","Metal","Metals","","ug/L","","N","Not Detected","0.3","1","MCL","15","ug/L","","Y","Y","04-09-2023"
"SR0000313","24989618","Superfund","TCAAP General","234209","Well","Well-Monitoring","45.107714","-93.176669","897.556","Quaternary Water Table Aquifer","38","06-05-2019","Wtr-Ground","Water","06-10-2019","8260C","Volatile Organic Compounds by GC/MS","06-02-0107","1,2-Dichloroethane","Volatile","Volatile Organics","","ug/L","","N","Not Detected","0.3","1","HRL","1","ug/L","","Y","Y","04-09-2023"
"SR0000313","24989618","Superfund","TCAAP General","234209","Well","Well-Monitoring","45.107714","-93.176669","897.556","Quaternary Water Table Aquifer","38","06-05-2019","Wtr-Ground","Water","06-10-2019","8260C","Volatile Organic Compounds by GC/MS","127-18-4","Tetrachloroethene","Volatile","Volatile Organics","","ug/L","","N","Not Detected","0.3","1","HBV","4","ug/L","","Y","Y","04-09-2023"
"SR0000313","24989618","Superfund","TCAAP General","234209","Well","Well-Monitoring","45.107714","-93.176669","897.556","Quaternary Water Table Aquifer","38","06-05-2019","Wtr-Ground","Water","06-10-2019","8260C","Volatile Organic Compounds by GC/MS","156-59-2","cis-1,2-Dichloroethene","Volatile","Volatile Organics","","ug/L","","N","Not Detected","0.3","1","HRL","6","ug/L","","Y","Y","04-09-2023"
"SR0000313","24989618","Superfund","TCAAP General","234209","Well","Well-Monitoring","45.107714","-93.176669","897.556","Quaternary Water Table Aquifer","38","06-05-2019","Wtr-Ground","Water","06-10-2019","8260C","Volatile Organic Compounds by GC/MS","67-66-3","Chloroform","Volatile","Volatile Organics","","ug/L","","N","Not Detected","0.3","1","HRL","20","ug/L","","Y","Y","04-09-2023"
"SR0000313","24989618","Superfund","TCAAP General","234209","Well","Well-Monitoring","45.107714","-93.176669","897.556","Quaternary Water Table Aquifer","38","06-05-2019","Wtr-Ground","Water","06-10-2019","8260C","Volatile Organic Compounds by GC/MS","71-43-2","Benzene","Volatile","Volatile Organics","","ug/L","","N","Not Detected","0.3","1","HRL","2","ug/L","","Y","Y","04-09-2023"
"SR0000313","24989618","Superfund","TCAAP General","234209","Well","Well-Monitoring","45.107714","-93.176669","897.556","Quaternary Water Table Aquifer","38","06-05-2019","Wtr-Ground","Water","06-10-2019","8260C","Volatile Organic Compounds by GC/MS","75-35-4","1,1-Dichloroethene","Volatile","Volatile Organics","","ug/L","","N","Not Detected","0.3","1","MCL","7","ug/L","","Y","Y","04-09-2023"
"SR0000313","24989618","Superfund","TCAAP General","234209","Well","Well-Monitoring","45.107714","-93.176669","897.556","Quaternary Water Table Aquifer","38","06-05-2019","Wtr-Ground","Water","06-10-2019","8260C","Volatile Organic Compounds by GC/MS","79-01-6","Trichloroethene","Volatile","Volatile Organics","","ug/L","","N","Not Detected","0.3","1","HRL","0.4","ug/L","","Y","Y","04-09-2023"
"SR0000313","24989618","Superfund","TCAAP General","234216","Well","Well-Monitoring","45.099293","-93.177831","882.261","Quaternary Water Table Aquifer","9","06-07-2019","Wtr-Ground","Water","06-20-2019","6020A","Inductively Coupled Plasma - Mass Spectrometry (ICP-MS)","7439-92-1","Lead","Metal","Metals","","ug/L","","N","Not Detected","0.3","1","MCL","15","ug/L","","Y","Y","04-09-2023"
"SR0000313","24989618","Superfund","TCAAP General","234218","Well","Well-Monitoring","45.095808","-93.184747","883.19","Quaternary Water Table Aquifer","18","06-11-2019","Wtr-Ground","Water","07-10-2019","522","1,4-Dioxane in Water by SPE and GC/MS with SIM","123-91-1","1,4-Dioxane","Volatile","Volatile Organics","","ug/L","","N","Not Detected","0.014","0.07","HRL","1","ug/L","","Y","Y","04-09-2023"
"SR0000313","24989618","Superfund","TCAAP General","234218","Well","Well-Monitoring","45.095808","-93.184747","883.19","Quaternary Water Table Aquifer","18","06-11-2019","Wtr-Ground","Water","06-17-2019","8260C","Volatile Organic Compounds by GC/MS","156-59-2","cis-1,2-Dichloroethene","Volatile","Volatile Organics","","ug/L","","N","Not Detected","0.3","1","HRL","6","ug/L","","Y","Y","04-09-2023"
"SR0000313","24989618","Superfund","TCAAP General","234218","Well","Well-Monitoring","45.095808","-93.184747","883.19","Quaternary Water Table Aquifer","18","06-11-2019","Wtr-Ground","Water","06-17-2019","8260C","Volatile Organic Compounds by GC/MS","75-01-4","Vinyl chloride","Volatile","Volatile Organics","","ug/L","","N","Not Detected","0.3","1","HRL","0.2","ug/L","","Y","Y","04-09-2023"
"SR0000313","24989618","Superfund","TCAAP General","234218","Well","Well-Monitoring","45.095808","-93.184747","883.19","Quaternary Water Table Aquifer","18","06-11-2019","Wtr-Ground","Water","06-17-2019","8260C","Volatile Organic Compounds by GC/MS","75-35-4","1,1-Dichloroethene","Volatile","Volatile Organics","","ug/L","","N","Not Detected","0.3","1","MCL","7","ug/L","","Y","Y","04-09-2023"
"SR0000313","24989618","Superfund","TCAAP General","234218","Well","Well-Monitoring","45.095808","-93.184747","883.19","Quaternary Water Table Aquifer","18","06-11-2019","Wtr-Ground","Water","06-17-2019","8260C","Volatile Organic Compounds by GC/MS","79-01-6","Trichloroethene","Volatile","Volatile Organics","","ug/L","","N","Not Detected","0.3","1","HRL","0.4","ug/L","","Y","Y","04-09-2023"
