DATA_SET,STATION_ID,SITE_TYPE,SITE_SUBTYPE,NAME,DESCRIPTION,NA1,SAMPLE_POINT,SAMPLE_DEPTH_m,START_DATE_TIME,END_DATE_TIME,SAMPLE_TYPE,MEDIA,PARAMETER,LAB_OR_FIELD,SIGN,NA2,UNITS,QUALIFIER,CITY,COUNTY,STATE,MAJOR_WATERSHED,"HUC_8,WATERSHED_MANAGEMENT_ORGANIZATION",geometry,START_DATE,NA2Cat,long,lat
"Large Rivers, Conventional Monitoring",UM7649,Surface Water,River/Stream,Mississippi River,Mississippi River at Reads Landing,764.9,Unrecorded,Unrecorded,10/28/1976 8:35,10/28/1976 8:35,Grab,Water,Fecal Coliform Bacteria Count,Lab,<,1,#/100mL,Valid,Pepin Twp.,Wabasha,MN,Mississippi River - Lake Pepin,"07040001,Wabasha County","c(-92.1152776294956, 44.4138903285327)",2019-10-28,0-300,-92.1152776294956,44.4138903285327
"Large Rivers, Conventional Monitoring",UM7728,Surface Water,River/Stream,Mississippi River,Mississippi River at Lake City,772.8,Unrecorded,Unrecorded,11/04/1976 9:05,11/04/1976 9:05,Grab,Water,Fecal Coliform Bacteria Count,Lab,NA,8,#/100mL,Valid,Florence Twp.,Goodhue,MN,Mississippi River - Lake Pepin,"07040001,Goodhue County","c(-92.2561107411051, 44.4575001776707)",2019-11-04,0-300,-92.2561107411051,44.4575001776707
"Large Rivers, Conventional Monitoring",UM7790,Surface Water,River/Stream,Mississippi River,Mississippi River at Frontenac,779,Unrecorded,Unrecorded,11/04/1976 9:40,11/04/1976 9:40,Grab,Water,Fecal Coliform Bacteria Count,Lab,NA,8,#/100mL,Valid,Florence Twp.,Goodhue,MN,Mississippi River - Lake Pepin,"07040001,Goodhue County","c(-92.316388122557, 44.5322212778377)",2019-11-04,0-300,-92.316388122557,44.5322212778377
"Large Rivers, Conventional Monitoring",UM7920,Surface Water,River/Stream,Mississippi River,Mississippi River above Red Wing,792,Unrecorded,Unrecorded,10/26/1978 11:30,10/26/1978 11:30,Grab,Water,Fecal Coliform Bacteria Count,Lab,NA,300,#/100mL,Valid,Red Wing,Goodhue,MN,Mississippi River - Lake Pepin,"07040001,Goodhue County","c(-92.5500872763984, 44.5755926823495)",2019-10-26,0-300,-92.5500872763984,44.5755926823495
"Large Rivers, Conventional Monitoring",UM7969,Surface Water,River/Stream,Mississippi River,Mississippi River above Lock and Dam No. 3,796.9,Mid Channel,1,12/31/2020 11:26,12/31/2020 11:26,Grab,Water,Fecal Coliform Bacteria Count,Lab,NA,30,#/100mL,Valid,Red Wing,Goodhue,MN,Mississippi River - Lake Pepin,"07040001,Goodhue County","c(-92.6099998903566, 44.6119464031651)",2020-12-31,0-300,-92.6099998903566,44.6119464031651
"Large Rivers, Conventional Monitoring",UM8128,Surface Water,River/Stream,Mississippi River,Mississippi River below Hwy-61 near marina in Hastings,812.8,Mid Channel,1,09/05/2000 11:31,09/05/2000 11:31,Grab,Water,Fecal Coliform Bacteria Count,Lab,NA,320,#/100mL,Valid,Hastings,Dakota,MN,Mississippi River - Twin Cities,"07010206,Vermillion River Watershed JPO","c(-92.8302777601133, 44.7494446629846)",2020-09-05,"301-2,000",-92.8302777601133,44.7494446629846
"Large Rivers, Conventional Monitoring",UM8139,Surface Water,River/Stream,Mississippi River,Mississippi River near Hwy-61 in Hastings,813.9,Mid Channel,1,05/28/2003 10:01,05/28/2003 10:01,Grab,Water,Fecal Coliform Bacteria Count,Lab,NA,8,#/100mL,Valid,Hastings,Washington,MN,Mississippi River - Twin Cities,"07010206,Vermillion River Watershed JPO","c(-92.850555373684, 44.7466687727231)",2020-05-28,0-300,-92.850555373684,44.7466687727231
"Large Rivers, Low Flow Survey",UM8153,Surface Water,River/Stream,Mississippi River,Mississippi River at Lock and Dam No. 2,815.3,Mid Channel,1,09/02/1976 13:00,09/02/1976 13:00,Grab,Water,Fecal Coliform Bacteria Count,Lab,NA,77,#/100mL,Valid,Hastings,Dakota,MN,Mississippi River - Twin Cities,"07010206,Vermillion River Watershed JPO","c(-92.8689921413621, 44.7611616430884)",2019-09-02,0-300,-92.8689921413621,44.7611616430884
"Large Rivers, Conventional Monitoring",UM8156,Surface Water,River/Stream,Mississippi River,Mississippi River above Lock and Dam No. 2,815.6,Mid Channel,Fixed,12/27/2007 10:38,12/27/2007 10:38,Grab,Water,Fecal Coliform Bacteria Count,Lab,NA,160,#/100mL,Valid,Denmark Twp.,Washington,MN,Mississippi River - Twin Cities,"07010206,Vermillion River Watershed JPO","c(-92.8705558166961, 44.7652784682121)",2020-12-27,0-300,-92.8705558166961,44.7652784682121
"Large Rivers, Low Flow Survey",UM8159,Surface Water,River/Stream,Mississippi River,Mississippi River above Lock and Dam No. 2,815.9,Mid Channel,1,07/01/1988 11:49,07/01/1988 11:49,Grab,Water,Fecal Coliform Bacteria Count,Lab,NA,2,#/100mL,Valid,Hastings,Dakota,MN,Mississippi River - Twin Cities,"07010206,Vermillion River Watershed JPO","c(-92.873547162926, 44.767337854044)",2019-07-01,0-300,-92.873547162926,44.767337854044
