"FACILITY_CODE","FACILITY_ID","FACILITY_TYPE","FACILITY_NAME","SYS_LOC_CODE","LOC_TYPE","LOC_TYPE_2","LATITUDE","LONGITUDE","SURF_ELEV","GEOLOGIC_UNIT_DESC","DEPTH_OF_WELL","SAMPLE_DATE","MATRIX_CODE","MEDIUM_CODE","ANALYSIS_DATE","LAB_ANALYTICAL_METHOD_CODE","LAB_ANALYTICAL_METHOD_NAME","CAS_RN","ANALYTE_NAME","ANALYTE_TYPE_DESC","ANALYTE_GROUP_DESC","RESULT_NUMERIC","RESULT_UNIT","VALUE_TYPE","DETECT_FLAG","DETECTION_REMARK","METHOD_DETECTION_LIMIT","REPORTING_DETECTION_LIMIT","MIN_ACTION_LEVEL_CODE","MIN_ACTION_LEVEL","ACTION_LEVEL_UNIT","ACTION_LEVEL_EXCEEDANCE","MOST_RECENT_RESULT_FLAG","FIVE_YEAR_FLAG","REPORT_DATE"
"SR0000033","31510751","Superfund","3M Chemolite / Cottage Grove","1000029195","Well","Well-Domestic","45.017666","-92.948636","","","","08-22-2022","Wtr-Drink","Water","08-26-2022","MDH555","Perfluorinated Compounds (PFCs) by LC/MS/MS","108427-53-8","Perfluorohexanesulfonate (PFHxS)","PFAS","Perfluorochemicals","0.002","ug/L","Estimated","Y","","0.002","0.015","HBV","0.047","ug/L","0.04","Y","Y","04-09-2023"
"SR0000033","31510751","Superfund","3M Chemolite / Cottage Grove","1000029195","Well","Well-Domestic","45.017666","-92.948636","","","","08-22-2022","Wtr-Drink","Water","08-26-2022","MDH555","Perfluorinated Compounds (PFCs) by LC/MS/MS","108427-53-8","Perfluorohexanesulfonate (PFHxS)","PFAS","Perfluorochemicals","0.002","ug/L","Estimated","Y","","0.002","0.015","HBV","0.047","ug/L","0.04","N","Y","04-09-2023"
"SR0000033","31510751","Superfund","3M Chemolite / Cottage Grove","1000029195","Well","Well-Domestic","45.017666","-92.948636","","","","08-22-2022","Wtr-Drink","Water","08-26-2022","MDH555","Perfluorinated Compounds (PFCs) by LC/MS/MS","2706-90-3","Perfluoropentanoic acid (PFPeA)","PFAS","Perfluorochemicals","0.007","ug/L","Estimated","Y","","0.002","0.015","","","","","Y","Y","04-09-2023"
"SR0000033","31510751","Superfund","3M Chemolite / Cottage Grove","1000029195","Well","Well-Domestic","45.017666","-92.948636","","","","08-22-2022","Wtr-Drink","Water","08-26-2022","MDH555","Perfluorinated Compounds (PFCs) by LC/MS/MS","2706-90-3","Perfluoropentanoic acid (PFPeA)","PFAS","Perfluorochemicals","0.007","ug/L","Estimated","Y","","0.002","0.015","","","","","N","Y","04-09-2023"
"SR0000033","31510751","Superfund","3M Chemolite / Cottage Grove","1000029195","Well","Well-Domestic","45.017666","-92.948636","","","","08-22-2022","Wtr-Drink","Water","08-26-2022","MDH555","Perfluorinated Compounds (PFCs) by LC/MS/MS","307-24-4","Perfluorohexanoic acid (PFHxA)","PFAS","Perfluorochemicals","0.004","ug/L","Estimated","Y","","0.002","0.015","HBV","0.2","ug/L","0.02","Y","Y","04-09-2023"
"SR0000033","31510751","Superfund","3M Chemolite / Cottage Grove","1000029195","Well","Well-Domestic","45.017666","-92.948636","","","","08-22-2022","Wtr-Drink","Water","08-26-2022","MDH555","Perfluorinated Compounds (PFCs) by LC/MS/MS","307-24-4","Perfluorohexanoic acid (PFHxA)","PFAS","Perfluorochemicals","0.004","ug/L","Estimated","Y","","0.002","0.015","HBV","0.2","ug/L","0.02","N","Y","04-09-2023"
"SR0000033","31510751","Superfund","3M Chemolite / Cottage Grove","1000029195","Well","Well-Domestic","45.017666","-92.948636","","","","08-22-2022","Wtr-Drink","Water","08-26-2022","MDH555","Perfluorinated Compounds (PFCs) by LC/MS/MS","335-67-1","Perfluorooctanoic acid (PFOA)","PFAS","Perfluorochemicals","0.008","ug/L","Estimated","Y","","0.002","0.015","HRL","0.035","ug/L","0.23","Y","Y","04-09-2023"
"SR0000033","31510751","Superfund","3M Chemolite / Cottage Grove","1000029195","Well","Well-Domestic","45.017666","-92.948636","","","","08-22-2022","Wtr-Drink","Water","08-26-2022","MDH555","Perfluorinated Compounds (PFCs) by LC/MS/MS","335-67-1","Perfluorooctanoic acid (PFOA)","PFAS","Perfluorochemicals","0.008","ug/L","Estimated","Y","","0.002","0.015","HRL","0.035","ug/L","0.23","N","Y","04-09-2023"
"SR0000033","31510751","Superfund","3M Chemolite / Cottage Grove","1000029195","Well","Well-Domestic","45.017666","-92.948636","","","","08-22-2022","Wtr-Drink","Water","08-26-2022","MDH555","Perfluorinated Compounds (PFCs) by LC/MS/MS","375-22-4","Perfluorobutanoic acid (PFBA)","PFAS","Perfluorochemicals","0.21","ug/L","Actual","Y","","0.002","0.015","HRL","7","ug/L","0.03","Y","Y","04-09-2023"
"SR0000033","31510751","Superfund","3M Chemolite / Cottage Grove","1000029195","Well","Well-Domestic","45.017666","-92.948636","","","","08-22-2022","Wtr-Drink","Water","08-26-2022","MDH555","Perfluorinated Compounds (PFCs) by LC/MS/MS","375-22-4","Perfluorobutanoic acid (PFBA)","PFAS","Perfluorochemicals","0.21","ug/L","Actual","Y","","0.002","0.015","HRL","7","ug/L","0.03","N","Y","04-09-2023"
