"FACILITY_CODE","FACILITY_ID","FACILITY_TYPE","FACILITY_NAME","SYS_LOC_CODE","LOC_TYPE","LOC_TYPE_2","LATITUDE","LONGITUDE","SURF_ELEV","GEOLOGIC_UNIT_DESC","DEPTH_OF_WELL","SAMPLE_DATE","MATRIX_CODE","MEDIUM_CODE","ANALYSIS_DATE","LAB_ANALYTICAL_METHOD_CODE","LAB_ANALYTICAL_METHOD_NAME","CAS_RN","ANALYTE_NAME","ANALYTE_TYPE_DESC","ANALYTE_GROUP_DESC","RESULT_NUMERIC","RESULT_UNIT","VALUE_TYPE","DETECT_FLAG","DETECTION_REMARK","METHOD_DETECTION_LIMIT","REPORTING_DETECTION_LIMIT","MIN_ACTION_LEVEL_CODE","MIN_ACTION_LEVEL","ACTION_LEVEL_UNIT","ACTION_LEVEL_EXCEEDANCE","MOST_RECENT_RESULT_FLAG","FIVE_YEAR_FLAG","REPORT_DATE"
"SR0001009","1746","Superfund","Chemical Marketing Corp Of America","1000020808","Well","Well-Monitoring","44.977185","-93.2974","807","","","11-10-2016","Wtr-Ground","Water","11-21-2016","8260B","Volatile Organics by CGC/MS","100-41-4","Ethylbenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.30","2.0","HBV","40","ug/L","","Y","N","04-09-2023"
"SR0001009","1746","Superfund","Chemical Marketing Corp Of America","1000020808","Well","Well-Monitoring","44.977185","-93.2974","807","","","11-10-2016","Wtr-Ground","Water","11-21-2016","8260B","Volatile Organics by CGC/MS","100-42-5","Styrene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.57","2.0","MCL","100","ug/L","","Y","N","04-09-2023"
"SR0001009","1746","Superfund","Chemical Marketing Corp Of America","1000020808","Well","Well-Monitoring","44.977185","-93.2974","807","","","11-10-2016","Wtr-Ground","Water","11-21-2016","8260B","Volatile Organics by CGC/MS","10061-01-5","cis-1,3-Dichloropropene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.30","8.0","","","","","Y","N","04-09-2023"
"SR0001009","1746","Superfund","Chemical Marketing Corp Of America","1000020808","Well","Well-Monitoring","44.977185","-93.2974","807","","","11-10-2016","Wtr-Ground","Water","11-21-2016","8260B","Volatile Organics by CGC/MS","10061-02-6","trans-1,3-Dichloropropene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.29","8.0","","","","","Y","N","04-09-2023"
"SR0001009","1746","Superfund","Chemical Marketing Corp Of America","1000020808","Well","Well-Monitoring","44.977185","-93.2974","807","","","11-10-2016","Wtr-Ground","Water","11-21-2016","8260B","Volatile Organics by CGC/MS","103-65-1","n-Propylbenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.47","2.0","","","","","Y","N","04-09-2023"
"SR0001009","1746","Superfund","Chemical Marketing Corp Of America","1000020808","Well","Well-Monitoring","44.977185","-93.2974","807","","","11-10-2016","Wtr-Ground","Water","11-21-2016","8260B","Volatile Organics by CGC/MS","104-51-8","n-Butylbenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.32","2.0","","","","","Y","N","04-09-2023"
"SR0001009","1746","Superfund","Chemical Marketing Corp Of America","1000020808","Well","Well-Monitoring","44.977185","-93.2974","807","","","11-10-2016","Wtr-Ground","Water","11-21-2016","8260B","Volatile Organics by CGC/MS","106-43-4","4-Chlorotoluene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.51","2.0","","","","","Y","N","04-09-2023"
"SR0001009","1746","Superfund","Chemical Marketing Corp Of America","1000020808","Well","Well-Monitoring","44.977185","-93.2974","807","","","11-10-2016","Wtr-Ground","Water","11-21-2016","8260B","Volatile Organics by CGC/MS","106-46-7","1,4-Dichlorobenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.42","2.0","HRL","10","ug/L","","Y","N","04-09-2023"
"SR0001009","1746","Superfund","Chemical Marketing Corp Of America","1000020808","Well","Well-Monitoring","44.977185","-93.2974","807","","","11-10-2016","Wtr-Ground","Water","11-21-2016","8260B","Volatile Organics by CGC/MS","106-93-4","1,2-Dibromoethane (EDB)","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.40","2.0","HRL","0.004","ug/L","","Y","N","04-09-2023"
"SR0001009","1746","Superfund","Chemical Marketing Corp Of America","1000020808","Well","Well-Monitoring","44.977185","-93.2974","807","","","11-10-2016","Wtr-Ground","Water","11-21-2016","8260B","Volatile Organics by CGC/MS","05-01-0107","Allyl chloride","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.50","8.0","HRL","30","ug/L","","Y","N","04-09-2023"
