"FACILITY_CODE","FACILITY_ID","FACILITY_TYPE","FACILITY_NAME","SYS_LOC_CODE","LOC_TYPE","LOC_TYPE_2","LATITUDE","LONGITUDE","SURF_ELEV","GEOLOGIC_UNIT_DESC","DEPTH_OF_WELL","SAMPLE_DATE","MATRIX_CODE","MEDIUM_CODE","ANALYSIS_DATE","LAB_ANALYTICAL_METHOD_CODE","LAB_ANALYTICAL_METHOD_NAME","CAS_RN","ANALYTE_NAME","ANALYTE_TYPE_DESC","ANALYTE_GROUP_DESC","RESULT_NUMERIC","RESULT_UNIT","VALUE_TYPE","DETECT_FLAG","DETECTION_REMARK","METHOD_DETECTION_LIMIT","REPORTING_DETECTION_LIMIT","MIN_ACTION_LEVEL_CODE","MIN_ACTION_LEVEL","ACTION_LEVEL_UNIT","ACTION_LEVEL_EXCEEDANCE","MOST_RECENT_RESULT_FLAG","FIVE_YEAR_FLAG","REPORT_DATE"
"SR0000348","33288998","Superfund","MDA - CMC-HBC","594026","Well","Well-Monitoring","44.952222","-93.246044","849.26","Quaternary Water Table Aquifer","45.6","01-14-2022","Wtr-Ground","Water","01-14-2022","4500-P-G","Flow Injection Analysis for Orthophosphate","14265-44-2","Orthophosphate as P as P","Inorganic","Inorganics","120","ug/L","Actual","Y","","0.002","0.01","","","","","Y","Y","04-09-2023"
"SR0000348","33288998","Superfund","MDA - CMC-HBC","594026","Well","Well-Monitoring","44.952222","-93.246044","849.26","Quaternary Water Table Aquifer","45.6","11-17-2021","Wtr-Ground","Water","11-18-2021","4500-P-G","Flow Injection Analysis for Orthophosphate","14265-44-2","Orthophosphate as P as P","Inorganic","Inorganics","110","ug/L","Actual","Y","","0.002","0.01","","","","","N","Y","04-09-2023"
"SR0000348","33288998","Superfund","MDA - CMC-HBC","594026","Well","Well-Monitoring","44.952222","-93.246044","849.26","Quaternary Water Table Aquifer","45.6","01-14-2022","Wtr-Ground","Water","01-14-2022","300.0","Determination of Inorganic Anions by Ion Chromatography","14797-55-8","Nitrate as N as N","Inorganic","Inorganics","2900","ug/L","Actual","Y","","0.023","0.1","MCL","10000","ug/L","0.29","Y","Y","04-09-2023"
"SR0000348","33288998","Superfund","MDA - CMC-HBC","594026","Well","Well-Monitoring","44.952222","-93.246044","849.26","Quaternary Water Table Aquifer","45.6","11-17-2021","Wtr-Ground","Water","11-19-2021","300.0","Determination of Inorganic Anions by Ion Chromatography","14797-55-8","Nitrate as N as N","Inorganic","Inorganics","5400","ug/L","Actual","Y","","0.023","0.1","MCL","10000","ug/L","0.54","N","Y","04-09-2023"
"SR0000348","33288998","Superfund","MDA - CMC-HBC","594026","Well","Well-Monitoring","44.952222","-93.246044","849.26","Quaternary Water Table Aquifer","45.6","01-14-2022","Wtr-Ground","Water","01-14-2022","300.0","Determination of Inorganic Anions by Ion Chromatography","14808-79-8","Sulfate as SO4","Inorganic","Inorganics","30800","ug/L","Actual","Y","","0.34","1.2","","","","","Y","Y","04-09-2023"
"SR0000348","33288998","Superfund","MDA - CMC-HBC","594026","Well","Well-Monitoring","44.952222","-93.246044","849.26","Quaternary Water Table Aquifer","45.6","11-17-2021","Wtr-Ground","Water","11-19-2021","300.0","Determination of Inorganic Anions by Ion Chromatography","14808-79-8","Sulfate as SO4","Inorganic","Inorganics","41100","ug/L","Actual","Y","","0.34","1.2","","","","","N","Y","04-09-2023"
"SR0000348","33288998","Superfund","MDA - CMC-HBC","594026","Well","Well-Monitoring","44.952222","-93.246044","849.26","Quaternary Water Table Aquifer","45.6","01-14-2022","Wtr-Ground","Water","01-28-2022","3500-FE(D)","Iron in Water by Colorimetry","15438-31-0","Iron, Ferrous","Metal","Metals","180","ug/L","Actual","Y","","0.036","0.08","","","","","Y","Y","04-09-2023"
"SR0000348","33288998","Superfund","MDA - CMC-HBC","594026","Well","Well-Monitoring","44.952222","-93.246044","849.26","Quaternary Water Table Aquifer","45.6","11-17-2021","Wtr-Ground","Water","12-03-2021","3500-FE(D)","Iron in Water by Colorimetry","15438-31-0","Iron, Ferrous","Metal","Metals","100","ug/L","Actual","Y","","0.036","0.08","","","","","N","Y","04-09-2023"
"SR0000348","33288998","Superfund","MDA - CMC-HBC","594026","Well","Well-Monitoring","44.952222","-93.246044","849.26","Quaternary Water Table Aquifer","45.6","01-14-2022","Wtr-Ground","Water","01-15-2022","300.0","Determination of Inorganic Anions by Ion Chromatography","16887-00-6","Chloride","Inorganic","Inorganics","1200000","ug/L","Actual","Y","","7.7","24","","","","","Y","Y","04-09-2023"
"SR0000348","33288998","Superfund","MDA - CMC-HBC","594026","Well","Well-Monitoring","44.952222","-93.246044","849.26","Quaternary Water Table Aquifer","45.6","11-17-2021","Wtr-Ground","Water","11-19-2021","300.0","Determination of Inorganic Anions by Ion Chromatography","16887-00-6","Chloride","Inorganic","Inorganics","840000","ug/L","Actual","Y","","7.7","24","","","","","N","Y","04-09-2023"
