"FACILITY_CODE","FACILITY_ID","FACILITY_TYPE","FACILITY_NAME","SYS_LOC_CODE","LOC_TYPE","LOC_TYPE_2","LATITUDE","LONGITUDE","SURF_ELEV","GEOLOGIC_UNIT_DESC","DEPTH_OF_WELL","SAMPLE_DATE","MATRIX_CODE","MEDIUM_CODE","ANALYSIS_DATE","LAB_ANALYTICAL_METHOD_CODE","LAB_ANALYTICAL_METHOD_NAME","CAS_RN","ANALYTE_NAME","ANALYTE_TYPE_DESC","ANALYTE_GROUP_DESC","RESULT_NUMERIC","RESULT_UNIT","VALUE_TYPE","DETECT_FLAG","DETECTION_REMARK","METHOD_DETECTION_LIMIT","REPORTING_DETECTION_LIMIT","MIN_ACTION_LEVEL_CODE","MIN_ACTION_LEVEL","ACTION_LEVEL_UNIT","ACTION_LEVEL_EXCEEDANCE","MOST_RECENT_RESULT_FLAG","FIVE_YEAR_FLAG","REPORT_DATE"
"SR0000200","1759","Superfund","MacGillis and Gibbs Waste Site","2001002297","Well","Well-Temporary","45.057455","-93.201265","917.19819208","","45","04-10-2013","Wtr-Ground","Water","04-15-2013","6020A","Inductively Coupled Plasma - Mass Spectrometry (ICP-MS)","7440-38-2","Arsenic","Metal","Metals","10.4","ug/L","Actual","Y","","0.1","0.5","MCL","10","ug/L","1.04","Y","N","04-09-2023"
"SR0000200","1759","Superfund","MacGillis and Gibbs Waste Site","2001002297","Well","Well-Temporary","45.057455","-93.201265","917.19819208","","45","04-10-2013","Wtr-Ground","Water","04-15-2013","6020A","Inductively Coupled Plasma - Mass Spectrometry (ICP-MS)","7440-38-2","Arsenic","Metal","Metals","0.8","ug/L","Actual","Y","","0.1","0.5","MCL","10","ug/L","0.08","N","N","04-09-2023"
"SR0000200","1759","Superfund","MacGillis and Gibbs Waste Site","2001002297","Well","Well-Temporary","45.057455","-93.201265","917.19819208","","45","04-10-2013","Wtr-Ground","Water","04-15-2013","6020A","Inductively Coupled Plasma - Mass Spectrometry (ICP-MS)","7440-38-2","Arsenic","Metal","Metals","0.8","ug/L","Actual","Y","","0.1","0.5","MCL","10","ug/L","0.08","N","N","04-09-2023"
"SR0000200","1759","Superfund","MacGillis and Gibbs Waste Site","2001002297","Well","Well-Temporary","45.057455","-93.201265","917.19819208","","45","04-10-2013","Wtr-Ground","Water","04-15-2013","6020A","Inductively Coupled Plasma - Mass Spectrometry (ICP-MS)","7440-47-3","Chromium","Metal","Metals","1.3","ug/L","Actual","Y","","0.1","0.5","MCL","100","ug/L","0.01","Y","N","04-09-2023"
"SR0000200","1759","Superfund","MacGillis and Gibbs Waste Site","2001002297","Well","Well-Temporary","45.057455","-93.201265","917.19819208","","45","04-10-2013","Wtr-Ground","Water","04-15-2013","6020A","Inductively Coupled Plasma - Mass Spectrometry (ICP-MS)","7440-47-3","Chromium","Metal","Metals","1.3","ug/L","Actual","Y","","0.1","0.5","MCL","100","ug/L","0.01","N","N","04-09-2023"
"SR0000200","1759","Superfund","MacGillis and Gibbs Waste Site","2001002297","Well","Well-Temporary","45.057455","-93.201265","917.19819208","","45","04-10-2013","Wtr-Ground","Water","04-15-2013","6020A","Inductively Coupled Plasma - Mass Spectrometry (ICP-MS)","7440-47-3","Chromium","Metal","Metals","0.6","ug/L","Actual","Y","","0.1","0.5","MCL","100","ug/L","0.01","N","N","04-09-2023"
"SR0000200","1759","Superfund","MacGillis and Gibbs Waste Site","2001002297","Well","Well-Temporary","45.057455","-93.201265","917.19819208","","45","04-10-2013","Wtr-Ground","Water","04-15-2013","6020A","Inductively Coupled Plasma - Mass Spectrometry (ICP-MS)","7440-50-8","Copper","Metal","Metals","1.1","ug/L","Actual","Y","","0.2","0.5","","","","","Y","N","04-09-2023"
"SR0000200","1759","Superfund","MacGillis and Gibbs Waste Site","2001002297","Well","Well-Temporary","45.057455","-93.201265","917.19819208","","45","04-10-2013","Wtr-Ground","Water","04-15-2013","6020A","Inductively Coupled Plasma - Mass Spectrometry (ICP-MS)","7440-50-8","Copper","Metal","Metals","0.9","ug/L","Actual","Y","","0.2","0.5","","","","","N","N","04-09-2023"
"SR0000200","1759","Superfund","MacGillis and Gibbs Waste Site","2001002297","Well","Well-Temporary","45.057455","-93.201265","917.19819208","","45","04-10-2013","Wtr-Ground","Water","04-18-2013","8270D","Semivolatile Organic Compounds by GC/MS","87-86-5","Pentachlorophenol","Pesticide","Pesticides and PCBs","45.5","ug/L","Actual","Y","","10.7","21.4","HRL","0.3","ug/L","151.67","Y","N","04-09-2023"
"SR0000200","1759","Superfund","MacGillis and Gibbs Waste Site","2001002297","Well","Well-Temporary","45.057455","-93.201265","917.19819208","","45","04-10-2013","Wtr-Ground","Water","04-18-2013","8270D","Semivolatile Organic Compounds by GC/MS","87-86-5","Pentachlorophenol","Pesticide","Pesticides and PCBs","34.3","ug/L","Actual","Y","","10.4","20.8","HRL","0.3","ug/L","114.33","N","N","04-09-2023"
