"FACILITY_CODE","FACILITY_ID","FACILITY_TYPE","FACILITY_NAME","SYS_LOC_CODE","LOC_TYPE","LOC_TYPE_2","LATITUDE","LONGITUDE","SURF_ELEV","GEOLOGIC_UNIT_DESC","DEPTH_OF_WELL","SAMPLE_DATE","MATRIX_CODE","MEDIUM_CODE","ANALYSIS_DATE","LAB_ANALYTICAL_METHOD_CODE","LAB_ANALYTICAL_METHOD_NAME","CAS_RN","ANALYTE_NAME","ANALYTE_TYPE_DESC","ANALYTE_GROUP_DESC","RESULT_NUMERIC","RESULT_UNIT","VALUE_TYPE","DETECT_FLAG","DETECTION_REMARK","METHOD_DETECTION_LIMIT","REPORTING_DETECTION_LIMIT","MIN_ACTION_LEVEL_CODE","MIN_ACTION_LEVEL","ACTION_LEVEL_UNIT","ACTION_LEVEL_EXCEEDANCE","MOST_RECENT_RESULT_FLAG","FIVE_YEAR_FLAG","REPORT_DATE"
"SR0000117","1370","Superfund","Pigs Eye Landfill","2001000121","Borehole","Borehole","44.935405","-93.037288","","","","01-19-2018","Wtr-Ground","Water","01-31-2018","MDH555","Perfluorinated Compounds (PFCs) by LC/MS/MS","108427-53-8","Perfluorohexane sulfonate","PFAS","Perfluorochemicals","0.24","ug/L","Actual","Y","","0.013","0.025","HBV","0.047","ug/L","5.11","Y","N","04-09-2023"
"SR0000117","1370","Superfund","Pigs Eye Landfill","2001000121","Borehole","Borehole","44.935405","-93.037288","","","","01-19-2018","Wtr-Ground","Water","01-31-2018","MDH555","Perfluorinated Compounds (PFCs) by LC/MS/MS","2706-90-3","Perfluoropentanoic acid","PFAS","Perfluorochemicals","0.081","ug/L","Actual","Y","","0.009","0.05","","","","","Y","N","04-09-2023"
"SR0000117","1370","Superfund","Pigs Eye Landfill","2001000121","Borehole","Borehole","44.935405","-93.037288","","","","01-19-2018","Wtr-Ground","Water","01-31-2018","MDH555","Perfluorinated Compounds (PFCs) by LC/MS/MS","307-24-4","Perfluorohexanoic acid","PFAS","Perfluorochemicals","0.26","ug/L","Actual","Y","","0.011","0.05","HBV","0.2","ug/L","1.3","Y","N","04-09-2023"
"SR0000117","1370","Superfund","Pigs Eye Landfill","2001000121","Borehole","Borehole","44.935405","-93.037288","","","","01-19-2018","Wtr-Ground","Water","02-02-2018","MDH555","Perfluorinated Compounds (PFCs) by LC/MS/MS","335-67-1","Perfluorooctanoic acid","PFAS","Perfluorochemicals","4.1","ug/L","Actual","Y","","0.06","0.18","HRL","0.035","ug/L","117.14","Y","N","04-09-2023"
"SR0000117","1370","Superfund","Pigs Eye Landfill","2001000121","Borehole","Borehole","44.935405","-93.037288","","","","01-19-2018","Wtr-Ground","Water","01-31-2018","MDH555","Perfluorinated Compounds (PFCs) by LC/MS/MS","375-22-4","Perfluorobutanoic acid","PFAS","Perfluorochemicals","1","ug/L","Actual","Y","","0.008","0.05","HRL","7","ug/L","0.14","Y","N","04-09-2023"
"SR0000117","1370","Superfund","Pigs Eye Landfill","2001000121","Borehole","Borehole","44.935405","-93.037288","","","","01-19-2018","Wtr-Ground","Water","01-31-2018","MDH555","Perfluorinated Compounds (PFCs) by LC/MS/MS","45187-15-3","Perfluorobutane sulfonate","PFAS","Perfluorochemicals","0.035","ug/L","Estimated","Y","","0.009","0.05","HBV","0.1","ug/L","0.35","Y","N","04-09-2023"
"SR0000117","1370","Superfund","Pigs Eye Landfill","2001000121","Borehole","Borehole","44.935405","-93.037288","","","","01-19-2018","Wtr-Ground","Water","02-02-2018","MDH555","Perfluorinated Compounds (PFCs) by LC/MS/MS","45298-90-6","Perfluorooctane sulfonate","PFAS","Perfluorochemicals","8.5","ug/L","Actual","Y","","0.035","0.12","HBV","0.015","ug/L","566.67","Y","N","04-09-2023"
"SR0000117","1370","Superfund","Pigs Eye Landfill","2001000122","Borehole","Borehole","44.934818","-93.037531","","","","01-19-2018","Wtr-Ground","Water","01-31-2018","MDH555","Perfluorinated Compounds (PFCs) by LC/MS/MS","108427-53-8","Perfluorohexane sulfonate","PFAS","Perfluorochemicals","0.18","ug/L","Actual","Y","","0.013","0.025","HBV","0.047","ug/L","3.83","Y","N","04-09-2023"
"SR0000117","1370","Superfund","Pigs Eye Landfill","2001000122","Borehole","Borehole","44.934818","-93.037531","","","","01-19-2018","Wtr-Ground","Water","01-31-2018","MDH555","Perfluorinated Compounds (PFCs) by LC/MS/MS","2706-90-3","Perfluoropentanoic acid","PFAS","Perfluorochemicals","0.039","ug/L","Estimated","Y","","0.009","0.05","","","","","Y","N","04-09-2023"
"SR0000117","1370","Superfund","Pigs Eye Landfill","2001000122","Borehole","Borehole","44.934818","-93.037531","","","","01-19-2018","Wtr-Ground","Water","01-31-2018","MDH555","Perfluorinated Compounds (PFCs) by LC/MS/MS","307-24-4","Perfluorohexanoic acid","PFAS","Perfluorochemicals","0.14","ug/L","Actual","Y","","0.011","0.05","HBV","0.2","ug/L","0.7","Y","N","04-09-2023"
