"FACILITY_CODE","FACILITY_ID","FACILITY_TYPE","FACILITY_NAME","SYS_LOC_CODE","LOC_TYPE","LOC_TYPE_2","LATITUDE","LONGITUDE","SURF_ELEV","GEOLOGIC_UNIT_DESC","DEPTH_OF_WELL","SAMPLE_DATE","MATRIX_CODE","MEDIUM_CODE","ANALYSIS_DATE","LAB_ANALYTICAL_METHOD_CODE","LAB_ANALYTICAL_METHOD_NAME","CAS_RN","ANALYTE_NAME","ANALYTE_TYPE_DESC","ANALYTE_GROUP_DESC","RESULT_NUMERIC","RESULT_UNIT","VALUE_TYPE","DETECT_FLAG","DETECTION_REMARK","METHOD_DETECTION_LIMIT","REPORTING_DETECTION_LIMIT","MIN_ACTION_LEVEL_CODE","MIN_ACTION_LEVEL","ACTION_LEVEL_UNIT","ACTION_LEVEL_EXCEEDANCE","MOST_RECENT_RESULT_FLAG","FIVE_YEAR_FLAG","REPORT_DATE"
"SR0001349","26892914","Superfund","Spring Park Municipal Wells","1000022224","Well","Well-Domestic","44.953223","-93.641036","962.96919092","","","04-27-2016","Wtr-Ground","Water","05-09-2016","8260B","Volatile Organics by CGC/MS","100-41-4","Ethylbenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.23","1.0","HBV","40","ug/L","","Y","N","04-09-2023"
"SR0001349","26892914","Superfund","Spring Park Municipal Wells","1000022224","Well","Well-Domestic","44.953223","-93.641036","962.96919092","","","04-27-2016","Wtr-Ground","Water","05-09-2016","8260B","Volatile Organics by CGC/MS","100-41-4","Ethylbenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.23","1.0","HBV","40","ug/L","","N","N","04-09-2023"
"SR0001349","26892914","Superfund","Spring Park Municipal Wells","1000022224","Well","Well-Domestic","44.953223","-93.641036","962.96919092","","","04-27-2016","Wtr-Ground","Water","05-09-2016","8260B","Volatile Organics by CGC/MS","100-42-5","Styrene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.11","1.0","MCL","100","ug/L","","Y","N","04-09-2023"
"SR0001349","26892914","Superfund","Spring Park Municipal Wells","1000022224","Well","Well-Domestic","44.953223","-93.641036","962.96919092","","","04-27-2016","Wtr-Ground","Water","05-09-2016","8260B","Volatile Organics by CGC/MS","100-42-5","Styrene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.11","1.0","MCL","100","ug/L","","N","N","04-09-2023"
"SR0001349","26892914","Superfund","Spring Park Municipal Wells","1000022224","Well","Well-Domestic","44.953223","-93.641036","962.96919092","","","04-27-2016","Wtr-Ground","Water","05-09-2016","8260B","Volatile Organics by CGC/MS","10061-01-5","cis-1,3-Dichloropropene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.21","4.0","","","","","Y","N","04-09-2023"
"SR0001349","26892914","Superfund","Spring Park Municipal Wells","1000022224","Well","Well-Domestic","44.953223","-93.641036","962.96919092","","","04-27-2016","Wtr-Ground","Water","05-09-2016","8260B","Volatile Organics by CGC/MS","10061-01-5","cis-1,3-Dichloropropene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.21","4.0","","","","","N","N","04-09-2023"
"SR0001349","26892914","Superfund","Spring Park Municipal Wells","1000022224","Well","Well-Domestic","44.953223","-93.641036","962.96919092","","","04-27-2016","Wtr-Ground","Water","05-09-2016","8260B","Volatile Organics by CGC/MS","10061-02-6","trans-1,3-Dichloropropene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.22","4.0","","","","","Y","N","04-09-2023"
"SR0001349","26892914","Superfund","Spring Park Municipal Wells","1000022224","Well","Well-Domestic","44.953223","-93.641036","962.96919092","","","04-27-2016","Wtr-Ground","Water","05-09-2016","8260B","Volatile Organics by CGC/MS","10061-02-6","trans-1,3-Dichloropropene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.22","4.0","","","","","N","N","04-09-2023"
"SR0001349","26892914","Superfund","Spring Park Municipal Wells","1000022224","Well","Well-Domestic","44.953223","-93.641036","962.96919092","","","04-27-2016","Wtr-Ground","Water","05-09-2016","8260B","Volatile Organics by CGC/MS","103-65-1","n-Propylbenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.21","1.0","","","","","Y","N","04-09-2023"
"SR0001349","26892914","Superfund","Spring Park Municipal Wells","1000022224","Well","Well-Domestic","44.953223","-93.641036","962.96919092","","","04-27-2016","Wtr-Ground","Water","05-09-2016","8260B","Volatile Organics by CGC/MS","103-65-1","n-Propylbenzene","Volatile","Volatile Organics","","ug/L","","N","Below Reporting Limit","0.21","1.0","","","","","N","N","04-09-2023"
