"FACILITY_CODE","FACILITY_ID","FACILITY_TYPE","FACILITY_NAME","SYS_LOC_CODE","LOC_TYPE","LOC_TYPE_2","LATITUDE","LONGITUDE","SURF_ELEV","GEOLOGIC_UNIT_DESC","DEPTH_OF_WELL","SAMPLE_DATE","MATRIX_CODE","MEDIUM_CODE","ANALYSIS_DATE","LAB_ANALYTICAL_METHOD_CODE","LAB_ANALYTICAL_METHOD_NAME","CAS_RN","ANALYTE_NAME","ANALYTE_TYPE_DESC","ANALYTE_GROUP_DESC","RESULT_NUMERIC","RESULT_UNIT","VALUE_TYPE","DETECT_FLAG","DETECTION_REMARK","METHOD_DETECTION_LIMIT","REPORTING_DETECTION_LIMIT","MIN_ACTION_LEVEL_CODE","MIN_ACTION_LEVEL","ACTION_LEVEL_UNIT","ACTION_LEVEL_EXCEEDANCE","MOST_RECENT_RESULT_FLAG","FIVE_YEAR_FLAG","REPORT_DATE"
"SR0000131","26892909","Superfund","Superior Plating Inc (SF)","278107","Well","Well-Monitoring","44.99044","-93.256209","826.8","","18.3","11-09-2020","Wtr-Ground","Water","11-20-2020","8260B","Volatile Organics by CGC/MS","100-41-4","Ethylbenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.32","1.1","HBV","40","ug/L","","Y","Y","04-09-2023"
"SR0000131","26892909","Superfund","Superior Plating Inc (SF)","278107","Well","Well-Monitoring","44.99044","-93.256209","826.8","","18.3","08-25-2020","Wtr-Ground","Water","09-02-2020","8260B","Volatile Organics by CGC/MS","100-41-4","Ethylbenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.137","1.00","HBV","40","ug/L","","N","Y","04-09-2023"
"SR0000131","26892909","Superfund","Superior Plating Inc (SF)","278107","Well","Well-Monitoring","44.99044","-93.256209","826.8","","18.3","04-06-2020","Wtr-Ground","Water","04-14-2020","8260B","Volatile Organics by CGC/MS","100-41-4","Ethylbenzene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.075","1.0","HBV","40","ug/L","","N","Y","04-09-2023"
"SR0000131","26892909","Superfund","Superior Plating Inc (SF)","278107","Well","Well-Monitoring","44.99044","-93.256209","826.8","","18.3","11-09-2020","Wtr-Ground","Water","11-20-2020","8260B","Volatile Organics by CGC/MS","100-42-5","Styrene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","3.0","10.0","MCL","100","ug/L","","Y","Y","04-09-2023"
"SR0000131","26892909","Superfund","Superior Plating Inc (SF)","278107","Well","Well-Monitoring","44.99044","-93.256209","826.8","","18.3","08-25-2020","Wtr-Ground","Water","09-02-2020","8260B","Volatile Organics by CGC/MS","100-42-5","Styrene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.118","1.00","MCL","100","ug/L","","N","Y","04-09-2023"
"SR0000131","26892909","Superfund","Superior Plating Inc (SF)","278107","Well","Well-Monitoring","44.99044","-93.256209","826.8","","18.3","04-06-2020","Wtr-Ground","Water","04-14-2020","8260B","Volatile Organics by CGC/MS","100-42-5","Styrene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.11","1.0","MCL","100","ug/L","","N","Y","04-09-2023"
"SR0000131","26892909","Superfund","Superior Plating Inc (SF)","278107","Well","Well-Monitoring","44.99044","-93.256209","826.8","","18.3","11-09-2020","Wtr-Ground","Water","11-20-2020","8260B","Volatile Organics by CGC/MS","10061-01-5","cis-1,3-Dichloropropene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","3.6","12.1","","","","","Y","Y","04-09-2023"
"SR0000131","26892909","Superfund","Superior Plating Inc (SF)","278107","Well","Well-Monitoring","44.99044","-93.256209","826.8","","18.3","08-25-2020","Wtr-Ground","Water","09-02-2020","8260B","Volatile Organics by CGC/MS","10061-01-5","cis-1,3-Dichloropropene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.111","1.00","","","","","N","Y","04-09-2023"
"SR0000131","26892909","Superfund","Superior Plating Inc (SF)","278107","Well","Well-Monitoring","44.99044","-93.256209","826.8","","18.3","04-06-2020","Wtr-Ground","Water","04-14-2020","8260B","Volatile Organics by CGC/MS","10061-01-5","cis-1,3-Dichloropropene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","0.077","4.0","","","","","N","Y","04-09-2023"
"SR0000131","26892909","Superfund","Superior Plating Inc (SF)","278107","Well","Well-Monitoring","44.99044","-93.256209","826.8","","18.3","11-09-2020","Wtr-Ground","Water","11-20-2020","8260B","Volatile Organics by CGC/MS","10061-02-6","trans-1,3-Dichloropropene","Volatile","Volatile Organics","","ug/L","Actual","N","Below Reporting Limit","4.4","14.6","","","","","Y","Y","04-09-2023"
